dataset,variant,auc,best_dim,best_lambda
autos_variant1,Full,0.8049,256,10.0
autos_variant1,w/o_scatter,0.6964,64,0.0
autos_variant1,w/o_cross,0.8018,256,0.1
autos_variant1,single_kernel,0.8373,32,10.0
autos_variant1,normalized_only,0.8302,256,100.0
autos_variant1,normrbf_only,0.7627,32,1000.0
cardio,Full,0.9668,16,0.1
cardio,w/o_scatter,0.9009,16,0.0
cardio,w/o_cross,0.8437,256,100.0
cardio,single_kernel,0.7033,64,10.0
cardio,normalized_only,0.9674,128,10.0
cardio,normrbf_only,0.9181,16,0.0
bands_band_6_variant1,Full,0.9573,128,10.0
bands_band_6_variant1,w/o_scatter,0.5171,32,0.0
bands_band_6_variant1,w/o_cross,0.9541,256,0.1
bands_band_6_variant1,single_kernel,0.9199,64,0.1
bands_band_6_variant1,normalized_only,0.9669,32,10.0
bands_band_6_variant1,normrbf_only,0.9167,16,0.1
ionosphere_b_24_variant1,Full,1.0,16,10.0
ionosphere_b_24_variant1,w/o_scatter,0.8662,16,0.0
ionosphere_b_24_variant1,w/o_cross,1.0,16,10.0
ionosphere_b_24_variant1,single_kernel,1.0,32,0.1
ionosphere_b_24_variant1,normalized_only,1.0,16,10.0
ionosphere_b_24_variant1,normrbf_only,0.9757,32,1.0
vowels,Full,0.978,32,1000.0
vowels,w/o_scatter,0.3304,128,0.0
vowels,w/o_cross,0.9768,32,0.1
vowels,single_kernel,0.963,256,1.0
vowels,normalized_only,0.9086,128,100.0
vowels,normrbf_only,0.9061,16,10.0
ecoli,Full,0.9332,128,1000.0
ecoli,w/o_scatter,0.8739,32,0.0
ecoli,w/o_cross,0.9312,128,0.1
ecoli,single_kernel,0.8575,32,0.1
ecoli,normalized_only,0.9018,32,10.0
ecoli,normrbf_only,0.9693,64,0.0
sonar_M_10_variant1,Full,0.9837,256,10.0
sonar_M_10_variant1,w/o_scatter,0.7939,32,0.0
sonar_M_10_variant1,w/o_cross,0.9776,256,0.1
sonar_M_10_variant1,single_kernel,0.9837,16,0.1
sonar_M_10_variant1,normalized_only,0.9776,256,10.0
sonar_M_10_variant1,normrbf_only,0.951,64,10.0
wbc_malignant_39_variant1,Full,0.9846,16,10.0
wbc_malignant_39_variant1,w/o_scatter,0.9806,256,0.0
wbc_malignant_39_variant1,w/o_cross,0.9843,16,0.1
wbc_malignant_39_variant1,single_kernel,0.9856,32,0.1
wbc_malignant_39_variant1,normalized_only,0.586,32,1000.0
wbc_malignant_39_variant1,normrbf_only,0.9982,16,10.0
