dataset,variant,auc,best_dim,best_lambda
vertebral,Full,0.8359,128,100.0
vertebral,w/o_scatter,0.5597,256,0.0
vertebral,w/o_cross,0.819,128,10.0
vertebral,single_kernel,0.8063,128,100.0
vertebral,normalized_only,0.8359,128,100.0
vertebral,normrbf_only,0.6781,32,1000.0
thyroid,Full,0.9837,32,10.0
thyroid,w/o_scatter,0.9535,128,0.0
thyroid,w/o_cross,0.9503,64,1.0
thyroid,single_kernel,0.675,32,10.0
thyroid,normalized_only,0.986,32,10.0
thyroid,normrbf_only,0.9497,64,1000.0
wbc_malignant_39_variant1,Full,0.9846,16,10.0
wbc_malignant_39_variant1,w/o_scatter,0.9806,256,0.0
wbc_malignant_39_variant1,w/o_cross,0.9843,16,0.1
wbc_malignant_39_variant1,single_kernel,0.9856,32,0.1
wbc_malignant_39_variant1,normalized_only,0.586,32,1000.0
wbc_malignant_39_variant1,normrbf_only,0.9982,16,10.0
glass,Full,0.918,32,1000.0
glass,w/o_scatter,0.5642,128,0.0
glass,w/o_cross,0.918,32,0.1
glass,single_kernel,0.8986,32,0.1
glass,normalized_only,0.9137,64,1000.0
glass,normrbf_only,0.9159,32,100.0
ecoli,Full,0.9332,128,1000.0
ecoli,w/o_scatter,0.8739,32,0.0
ecoli,w/o_cross,0.9312,128,0.1
ecoli,single_kernel,0.8575,32,0.1
ecoli,normalized_only,0.9018,32,10.0
ecoli,normrbf_only,0.9693,64,0.0
pageblocks_1_258_variant1,Full,0.9797,256,100.0
pageblocks_1_258_variant1,w/o_scatter,0.8112,16,0.0
pageblocks_1_258_variant1,w/o_cross,0.9349,64,100.0
pageblocks_1_258_variant1,single_kernel,0.9242,128,1000.0
pageblocks_1_258_variant1,normalized_only,0.9881,128,100.0
pageblocks_1_258_variant1,normrbf_only,0.9555,256,100.0
wine,Full,0.9576,256,0.0
wine,w/o_scatter,0.9576,256,0.0
wine,w/o_cross,0.9271,16,0.1
wine,single_kernel,0.9288,128,0.1
wine,normalized_only,0.9881,256,0.0
wine,normrbf_only,0.9373,16,100.0
cardio,Full,0.9668,16,0.1
cardio,w/o_scatter,0.9009,16,0.0
cardio,w/o_cross,0.8437,256,100.0
cardio,single_kernel,0.7033,64,10.0
cardio,normalized_only,0.9674,128,10.0
cardio,normrbf_only,0.9181,16,0.0
cardiotocography_2and3_33_variant1,Full,0.9086,32,1000.0
cardiotocography_2and3_33_variant1,w/o_scatter,0.8558,256,0.0
cardiotocography_2and3_33_variant1,w/o_cross,0.9099,32,1.0
cardiotocography_2and3_33_variant1,single_kernel,0.6394,256,1000.0
cardiotocography_2and3_33_variant1,normalized_only,0.9205,128,10.0
cardiotocography_2and3_33_variant1,normrbf_only,0.9087,32,1000.0
tic_tac_toe_negative_12_variant1,Full,0.9888,64,0.0
tic_tac_toe_negative_12_variant1,w/o_scatter,0.9888,64,0.0
tic_tac_toe_negative_12_variant1,w/o_cross,0.9699,256,0.1
tic_tac_toe_negative_12_variant1,single_kernel,0.9947,256,0.1
tic_tac_toe_negative_12_variant1,normalized_only,0.9989,128,100.0
tic_tac_toe_negative_12_variant1,normrbf_only,0.9681,16,0.0
tic_tac_toe_negative_69_variant1,Full,0.9914,128,0.0
tic_tac_toe_negative_69_variant1,w/o_scatter,0.9914,128,0.0
tic_tac_toe_negative_69_variant1,w/o_cross,0.8929,256,1.0
tic_tac_toe_negative_69_variant1,single_kernel,0.9728,128,0.1
tic_tac_toe_negative_69_variant1,normalized_only,0.9945,128,0.0
tic_tac_toe_negative_69_variant1,normrbf_only,0.9084,32,0.0
wpbc_variant1,Full,0.7566,64,0.0
wpbc_variant1,w/o_scatter,0.7566,64,0.0
wpbc_variant1,w/o_cross,0.581,16,0.1
wpbc_variant1,single_kernel,0.615,32,0.1
wpbc_variant1,normalized_only,0.7589,64,0.0
wpbc_variant1,normrbf_only,0.6088,16,100.0
ionosphere_b_24_variant1,Full,1.0,16,10.0
ionosphere_b_24_variant1,w/o_scatter,0.8662,16,0.0
ionosphere_b_24_variant1,w/o_cross,1.0,16,10.0
ionosphere_b_24_variant1,single_kernel,1.0,32,0.1
ionosphere_b_24_variant1,normalized_only,1.0,16,10.0
ionosphere_b_24_variant1,normrbf_only,0.9757,32,1.0
zoo_variant1,Full,0.9804,32,0.0
zoo_variant1,w/o_scatter,0.9804,32,0.0
zoo_variant1,w/o_cross,0.979,128,0.1
zoo_variant1,single_kernel,0.9762,256,0.1
