dataset,Full,w/o_scatter,w/o_cross,single_kernel,normalized_only,normrbf_only
annealing_variant1,0.8733,0.5925,0.7682,0.8787,0.8971,0.7407
audiology_variant1,0.9756,0.6592,0.9707,0.9713,0.9804,0.9449
autos_variant1,0.8049,0.6964,0.8018,0.8373,0.8302,0.7627
bands_band_6_variant1,0.9573,0.5171,0.9541,0.9199,0.9669,0.9167
cardio,0.9668,0.9009,0.8437,0.7033,0.9674,0.9181
cardiotocography_2and3_33_variant1,0.9086,0.8558,0.9099,0.6394,0.9205,0.9087
ecoli,0.9332,0.8739,0.9312,0.8575,0.9018,0.9693
glass,0.918,0.5642,0.918,0.8986,0.9137,0.9159
ionosphere_b_24_variant1,1.0,0.8662,1.0,1.0,1.0,0.9757
lymphography,1.0,0.7441,1.0,1.0,0.9953,1.0
pageblocks_1_258_variant1,0.9797,0.8112,0.9349,0.9242,0.9881,0.9555
sick_sick_72_variant1,0.8451,0.6156,0.7327,0.854,0.8478,0.804
thyroid,0.9837,0.9535,0.9503,0.675,0.986,0.9497
tic_tac_toe_negative_12_variant1,0.9888,0.9888,0.9699,0.9947,0.9989,0.9681
tic_tac_toe_negative_69_variant1,0.9914,0.9914,0.8929,0.9728,0.9945,0.9084
vertebral,0.8359,0.5597,0.819,0.8063,0.8359,0.6781
wbc_malignant_39_variant1,0.9846,0.9806,0.9843,0.9856,0.586,0.9982
wine,0.9576,0.9576,0.9271,0.9288,0.9881,0.9373
wpbc_variant1,0.7566,0.7566,0.581,0.615,0.7589,0.6088
zoo_variant1,0.9804,0.9804,0.979,0.9762,0.9762,0.9692
