dataset,N,anom,scatter,Disent_AD,GBRAD,NGBAD,GBMOD,GBNOF,MFIOD,DFNO,KFGOD,MFGAD,WFRDA,ILGNI,NHOD,BLDOD,FGAS,GBFRD,ECOD,DCROD,ROD,COPOD,DeepSVDD,DIF,VAE
annealing_variant1,798,0.053,0.9009,0.5425,0.8201,0.7577,0.8221,0.7702,0.743,0.759,0.7837,0.5542,0.7387,0.6864,0.7922,0.8221,0.7879,0.8003,0.7874,0.7552,0.7117,0.7967,0.736,0.7921,0.7412
arrhythmia_variant1,452,0.146,0.8553,0.7529,0.7887,0.642,0.8103,0.812,0.8159,0.7693,0.8276,0.7895,0.826,0.8164,0.8163,0.7989,0.8238,0.8285,0.8071,0.7961,0.8011,0.8046,0.7191,0.8093,
audiology_variant1,226,0.252,0.9992,0.7587,0.5576,,0.6811,0.697,0.8417,0.9028,0.6579,0.7347,0.8336,0.8732,,0.7096,0.8458,0.9027,0.8326,0.6454,0.615,0.8599,0.636,0.5487,0.6661
breast_cancer_variant1,286,0.297,0.708,0.6391,0.6977,,0.6766,0.6612,0.6391,0.7162,0.6585,0.6847,0.6536,0.6587,,0.6917,0.6806,0.6752,0.6555,0.6035,0.6917,0.6322,,0.6539,0.5688
creditA_plus_42_variant1,425,0.099,0.8402,0.8614,0.8826,0.8641,0.9547,0.9329,0.8115,0.9605,0.9809,0.9955,0.9863,0.9636,0.9406,0.958,0.9909,0.9942,0.9903,0.8406,0.9741,0.9921,,0.9099,0.9735
ecoli,336,0.027,0.9575,0.9399,0.9181,0.9251,0.9178,0.9072,0.8345,0.9052,0.9263,0.8488,0.8746,0.6381,0.9079,0.9157,0.9555,0.8987,0.7808,0.8746,0.6126,0.8087,0.8763,0.8637,0.8196
german_1_14_variant1,714,0.02,0.9403,0.9339,0.8456,0.5982,0.9374,0.952,0.9721,0.982,0.9508,0.9778,0.9841,0.9796,0.9471,0.9597,0.9749,0.981,0.9655,0.9546,0.9274,0.973,,0.6858,0.911
glass,214,0.042,0.8678,0.8298,0.684,0.6623,0.8585,0.7585,0.7252,0.8575,0.7,0.7463,0.7458,0.4818,0.8591,0.8691,0.7035,0.7339,0.6206,0.8634,0.7377,0.645,0.5285,0.7751,0.6271
heart270_2_16_variant1,166,0.096,0.9704,0.8733,0.9319,0.9342,0.9733,0.9754,0.9946,0.9721,0.9858,0.9967,0.995,0.9833,0.9708,0.9763,0.9967,0.9958,0.9962,0.9704,0.9754,0.9929,,0.8171,0.9367
hepatitis_2_9_variant1,94,0.096,1.0,0.9686,0.9294,0.9235,0.9961,0.9974,0.9908,0.9882,0.9954,1.0,0.9948,0.9948,0.9935,0.9935,0.9974,0.9987,0.9961,0.9895,0.9869,1.0,0.9516,0.9778,1.0
horse_1_12_variant1,256,0.047,0.9686,0.6482,0.7722,0.7473,0.9092,0.9112,0.7797,0.972,0.9711,0.9512,0.9819,0.9754,0.9484,0.8998,0.9867,0.9949,0.9805,0.8777,0.8805,0.9857,,0.6831,0.8825
iris_Irisvirginica_11_variant1,111,0.099,0.9718,0.9,0.9982,1.0,1.0,0.9991,0.9991,1.0,1.0,0.9973,1.0,0.9509,1.0,1.0,1.0,1.0,0.9773,0.9827,0.8664,1.0,0.9673,0.7791,0.9755
letter,1600,0.062,0.8482,0.5034,0.5582,0.4897,0.8161,0.7694,0.574,0.9327,0.5576,0.7106,0.5844,0.5816,0.9115,0.8975,0.5925,0.6015,0.5723,0.9281,0.4929,0.5596,0.5167,0.6739,
lymphography,148,0.041,1.0,0.8333,0.8685,,0.9977,0.9953,0.9859,0.9977,0.7975,0.9777,0.993,0.9906,,0.9953,0.9894,0.9965,0.9965,0.9542,0.7617,0.9941,,0.9824,
monks_0_12_variant1,240,0.05,1.0,0.9529,0.6692,,0.9145,0.8838,0.996,1.0,0.9671,0.9971,0.9963,1.0,,0.9823,0.9868,0.9956,0.9572,0.9859,0.7621,0.9587,,0.837,0.9335
monks_0_25_variant1,253,0.099,1.0,0.8498,0.7031,,0.8916,0.8779,1.0,1.0,0.8475,0.9995,1.0,1.0,,0.9908,0.9902,0.9989,0.9691,0.9916,0.7223,0.9668,,0.724,0.9295
monks_0_4_variant1,232,0.017,1.0,0.9868,0.443,,0.9167,0.8799,0.9868,1.0,0.9879,1.0,1.0,1.0,,1.0,0.9781,1.0,0.9868,0.989,0.9682,0.9912,,0.9123,0.977
