dataset,latent_dim,lambda_scatter,auc_normalized,auc_norm_rbf,auc_max_ensemble,elapsed_s
vertebral,16,0.0,0.5656,0.5579,0.547,2.4
vertebral,16,0.1,0.4913,0.5259,0.5144,1.5
vertebral,16,1.0,0.5019,0.7475,0.7427,1.4
vertebral,16,10.0,0.5903,0.5483,0.5602,1.5
vertebral,16,100.0,0.7954,0.5551,0.5583,1.6
vertebral,16,1000.0,0.7571,0.5548,0.5579,1.6
vertebral,32,0.0,0.5376,0.5083,0.4989,1.7
vertebral,32,0.1,0.4903,0.4205,0.4203,1.8
vertebral,32,1.0,0.4384,0.5797,0.5743,1.8
vertebral,32,10.0,0.5681,0.5284,0.5529,1.8
vertebral,32,100.0,0.8083,0.5583,0.8033,1.8
vertebral,32,1000.0,0.7594,0.5557,0.7562,1.8
vertebral,64,0.0,0.5521,0.493,0.4778,1.6
vertebral,64,0.1,0.5263,0.526,0.5195,1.5
vertebral,64,1.0,0.4687,0.5884,0.5835,1.6
vertebral,64,10.0,0.5656,0.5425,0.5571,1.6
vertebral,64,100.0,0.8135,0.5283,0.8116,1.5
vertebral,64,1000.0,0.7938,0.5244,0.7929,1.6
vertebral,128,0.0,0.54,0.5563,0.5435,1.4
vertebral,128,0.1,0.5049,0.3948,0.3878,1.6
vertebral,128,1.0,0.4463,0.573,0.4571,1.6
vertebral,128,10.0,0.5897,0.4398,0.5897,1.6
vertebral,128,100.0,0.813,0.507,0.8079,1.6
vertebral,128,1000.0,0.7929,0.5073,0.7895,1.6
vertebral,256,0.0,0.5616,0.5187,0.509,1.6
vertebral,256,0.1,0.5192,0.4743,0.5192,1.7
vertebral,256,1.0,0.4597,0.6295,0.6246,1.6
vertebral,256,10.0,0.5552,0.5324,0.5219,1.5
vertebral,256,100.0,0.8122,0.5598,0.5648,1.6
vertebral,256,1000.0,0.7965,0.569,0.5737,1.5
