dataset,latent_dim,lambda_scatter,auc_normalized,auc_norm_rbf,auc_max_ensemble,elapsed_s
wbc_malignant_39_variant1,16,0.0,0.4777,0.9956,0.9873,3.4
wbc_malignant_39_variant1,16,0.1,0.4541,0.9958,0.9843,2.2
wbc_malignant_39_variant1,16,1.0,0.4535,0.9961,0.9871,2.1
wbc_malignant_39_variant1,16,10.0,0.3131,0.9968,0.9878,2.2
wbc_malignant_39_variant1,16,100.0,0.3907,0.9967,0.9876,2.3
wbc_malignant_39_variant1,16,1000.0,0.4915,0.9967,0.9876,2.3
wbc_malignant_39_variant1,32,0.0,0.4957,0.9956,0.9818,2.0
wbc_malignant_39_variant1,32,0.1,0.4808,0.9967,0.9876,2.1
wbc_malignant_39_variant1,32,1.0,0.4708,0.9962,0.9872,2.4
wbc_malignant_39_variant1,32,10.0,0.3517,0.9967,0.9876,2.3
wbc_malignant_39_variant1,32,100.0,0.3932,0.9968,0.9878,2.4
wbc_malignant_39_variant1,32,1000.0,0.5687,0.9969,0.9879,2.5
wbc_malignant_39_variant1,64,0.0,0.4895,0.9962,0.9574,2.6
wbc_malignant_39_variant1,64,0.1,0.4402,0.996,0.9584,2.6
wbc_malignant_39_variant1,64,1.0,0.4416,0.9964,0.9874,2.6
wbc_malignant_39_variant1,64,10.0,0.3741,0.9965,0.9875,2.8
wbc_malignant_39_variant1,64,100.0,0.3089,0.9968,0.9878,2.3
wbc_malignant_39_variant1,64,1000.0,0.5403,0.9968,0.9878,2.6
wbc_malignant_39_variant1,128,0.0,0.5246,0.9966,0.9863,2.6
wbc_malignant_39_variant1,128,0.1,0.4599,0.9959,0.9669,2.5
wbc_malignant_39_variant1,128,1.0,0.4515,0.9962,0.9872,2.3
wbc_malignant_39_variant1,128,10.0,0.3467,0.9964,0.9874,2.1
wbc_malignant_39_variant1,128,100.0,0.2839,0.9967,0.9877,2.2
wbc_malignant_39_variant1,128,1000.0,0.4689,0.9966,0.9876,2.1
wbc_malignant_39_variant1,256,0.0,0.5188,0.9958,0.9863,2.2
wbc_malignant_39_variant1,256,0.1,0.4751,0.9961,0.9869,2.2
wbc_malignant_39_variant1,256,1.0,0.3962,0.9961,0.9871,2.7
wbc_malignant_39_variant1,256,10.0,0.3669,0.9963,0.9873,2.4
wbc_malignant_39_variant1,256,100.0,0.2987,0.9965,0.9875,2.3
wbc_malignant_39_variant1,256,1000.0,0.4319,0.9965,0.9875,2.3
