dataset,scatter,NGBAD,GBRAD,Disent_AD,MFIOD,ILGNI,WFRDA,ROD,DIF,ECOD
vertebral,0.8116,0.3125,0.255,0.5302,0.3348,0.4244,0.3525,0.3895,0.459,0.42
autos_variant1,0.9253,0.5687,0.6819,0.6398,0.4404,0.4702,0.6722,0.5624,0.4969,0.5829
letter,0.8482,0.4897,0.5582,0.5034,0.574,0.5816,0.5844,0.4929,0.6739,0.5723
vowels,0.9827,0.7816,0.7728,0.8966,0.6389,0.6092,0.6862,0.6261,0.7856,0.5929
bands_band_6_variant1,1.0,0.5911,0.6677,0.8013,0.5454,0.8745,0.8232,0.8077,0.8162,0.9359
bands_band_16_variant1,0.8958,0.4909,0.6165,0.7065,0.6494,0.7796,0.7794,0.7194,0.8433,0.8832
glass,0.8678,0.6623,0.684,0.8298,0.7252,0.4818,0.7458,0.7377,0.7751,0.6206
annealing_variant1,0.9009,0.7577,0.8201,0.5425,0.743,0.6864,0.7387,0.7117,0.7921,0.7874
bands_band_34_variant1,0.8511,0.6507,0.6967,0.654,0.4928,0.7747,0.7291,0.6725,0.7832,0.7818
bands_band_27_variant1,0.8567,0.7669,0.6077,0.6632,0.5242,0.7595,0.7525,0.7045,0.7962,0.8064
bands_band_42_variant1,0.8226,0.712,0.6939,0.65,0.4486,0.7431,0.7213,0.661,0.7523,0.7505
ecoli,0.9575,0.9251,0.9181,0.9399,0.8345,0.6381,0.8746,0.6126,0.8637,0.7808
thyroid_disease_variant1,0.706,0.4522,0.6047,0.6011,0.6383,0.6096,0.5307,0.5333,0.659,0.5808
cardiotocography_2and3_33_variant1,0.9023,0.7487,0.6453,0.889,0.6966,0.8111,0.8649,0.8925,0.7956,0.8711
thyroid,0.9846,0.8653,0.8016,0.9627,0.9687,0.5957,0.9568,0.9772,0.9753,0.9771
sonar_M_10_variant1,1.0,0.9299,0.9577,0.6485,0.9794,0.9649,0.9907,0.9897,0.8825,0.966
arrhythmia_variant1,0.8553,0.642,0.7887,0.7529,0.8159,0.8164,0.826,0.8011,0.8093,0.8071
cardio,0.9627,0.9417,0.8706,0.9447,0.8345,0.8873,0.922,0.9324,0.9183,0.935
ionosphere_b_24_variant1,1.0,0.8003,0.9457,0.9887,0.9996,0.9981,0.9928,0.9867,0.9989,0.9943
hepatitis_2_9_variant1,1.0,0.9235,0.9294,0.9686,0.9908,0.9948,0.9948,0.9869,0.9778,0.9961
