dataset,N,D,anom_rate,done,n_alg,opp_mean,opp_max,opp_med
wpbc_variant1,198,33,0.237,True,22,0.5251,0.5941,0.5298
vertebral,240,6,0.125,False,21,0.4292,0.667,0.3994
speech,3686,400,0.017,False,9,0.5147,0.6714,0.4832
connect_4_draw_1247_variant1,62355,42,0.02,False,8,0.6288,0.6771,0.6301
autos_variant1,205,25,0.122,True,22,0.5997,0.6869,0.6134
thyroid_disease_variant1,9172,28,0.008,True,21,0.6125,0.7022,0.6428
breast_cancer_variant1,286,9,0.297,False,19,0.6599,0.7162,0.6587
ALOI_variant1,50000,27,0.03,False,8,0.5747,0.731,0.5482
adult_morethan50K_1790_variant1,35804,14,0.05,False,7,0.6432,0.7477,0.6577
nursery_variant1,12960,8,0.025,False,5,0.5458,0.7633,0.5
adult_morethan50K_4638_variant1,38652,14,0.12,False,8,0.6659,0.7704,0.6775
psdas_dropout_1421,4424,36,0.321,True,13,0.7022,0.7779,0.703
adult_morethan50K_3779_variant1,37793,14,0.1,False,7,0.6903,0.7848,0.7158
adult_morethan50K_2957_variant1,36971,14,0.08,False,7,0.7023,0.7912,0.7256
bands_band_42_variant1,354,39,0.119,True,22,0.7242,0.8133,0.7495
satellite,6435,36,0.316,False,21,0.6916,0.8133,0.723
connect_4_draw_617_variant1,61725,42,0.01,False,8,0.7388,0.8199,0.744
annealing_variant1,798,38,0.053,False,22,0.75,0.8221,0.7646
bands_band_34_variant1,346,39,0.098,True,22,0.7341,0.8245,0.7627
waveform_0_100_variant1,3443,21,0.029,True,22,0.7278,0.8269,0.7107
arrhythmia_variant1,452,279,0.146,False,21,0.7931,0.8285,0.8071
spambase_spam_56_variant1,2844,57,0.02,True,18,0.752,0.8363,0.7805
abalone_variant1,4177,8,0.019,True,19,0.7224,0.8397,0.723
bands_band_27_variant1,339,39,0.08,True,22,0.7557,0.8526,0.7894
glass,214,9,0.042,False,22,0.7279,0.8691,0.7358
adult_morethan50K_694_variant1,34708,14,0.02,False,8,0.7937,0.8749,0.7991
nhanes_age_364,2278,8,0.16,True,15,0.6949,0.8953,0.7134
sick_sick_72_variant1,3613,29,0.02,False,21,0.7841,0.8954,0.798
bands_band_16_variant1,328,39,0.049,True,21,0.7851,0.898,0.8133
cardiotocography_2and3_33_variant1,1688,21,0.02,True,22,0.8253,0.9027,0.8411
audiology_variant1,226,69,0.252,False,20,0.74,0.9028,0.7221
mnist,7603,100,0.092,False,13,0.8179,0.9046,0.8149
mammography,11183,6,0.023,False,16,0.7928,0.9062,0.8459
chess_nowin_227_variant1,1896,36,0.12,True,19,0.8535,0.9185,0.8652
annthyroid,7200,6,0.074,False,16,0.7308,0.9201,0.7354
adult_morethan50K_343_variant1,34357,14,0.01,False,8,0.8533,0.9218,0.876
sick_sick_35_variant1,3576,29,0.01,False,21,0.8667,0.9269,0.8687
chess_nowin_185_variant1,1854,36,0.1,True,19,0.8701,0.9322,0.8898
letter,1600,32,0.062,False,21,0.6583,0.9327,0.5844
zoo_variant1,101,16,0.168,False,18,0.6552,0.9342,0.6057
optdigits,5216,64,0.029,False,21,0.7102,0.9512,0.7122
chess_nowin_145_variant1,1814,36,0.08,True,19,0.8988,0.9539,0.9159
ecoli,336,7,0.027,False,22,0.8614,0.9555,0.8875
cardio,1831,21,0.096,True,22,0.9207,0.9616,0.9313
smtp,95156,3,0.0,False,8,0.8726,0.9677,0.8747
pendigits,6870,16,0.023,False,21,0.9041,0.9682,0.9423
bands_band_6_variant1,318,39,0.019,True,21,0.8554,0.969,0.9092
