dataset,hidden_neurons,epochs,auc,fit_s
vertebral,"[64, 32]",50,0.632698,0.9
vertebral,"[64, 32]",100,0.632698,0.3
vertebral,"[128, 64]",50,0.512222,0.1
vertebral,"[128, 64]",100,0.512222,0.2
vertebral,"[32, 16]",50,0.564444,0.1
vertebral,"[32, 16]",100,0.564444,0.2
autos_variant1,"[64, 32]",50,0.567333,0.1
autos_variant1,"[64, 32]",100,0.567333,0.2
autos_variant1,"[128, 64]",50,0.603111,0.1
autos_variant1,"[128, 64]",100,0.603111,0.2
autos_variant1,"[32, 16]",50,0.509556,0.1
autos_variant1,"[32, 16]",100,0.509556,0.2
letter,"[64, 32]",50,0.516573,0.6
letter,"[64, 32]",100,0.516573,1.2
letter,"[128, 64]",50,0.59328,0.7
letter,"[128, 64]",100,0.59328,1.2
letter,"[32, 16]",50,0.516467,0.5
letter,"[32, 16]",100,0.516467,0.8
vowels,"[64, 32]",50,0.41734,0.7
vowels,"[64, 32]",100,0.41734,1.1
vowels,"[128, 64]",50,0.680526,0.6
vowels,"[128, 64]",100,0.680526,1.2
vowels,"[32, 16]",50,0.591408,0.4
vowels,"[32, 16]",100,0.591408,0.7
bands_band_6_variant1,"[64, 32]",50,0.831731,0.2
bands_band_6_variant1,"[64, 32]",100,0.831731,0.2
bands_band_6_variant1,"[128, 64]",50,0.893162,0.1
bands_band_6_variant1,"[128, 64]",100,0.893162,0.3
bands_band_6_variant1,"[32, 16]",50,0.939103,0.1
bands_band_6_variant1,"[32, 16]",100,0.939103,0.2
bands_band_16_variant1,"[64, 32]",50,0.661859,0.1
bands_band_16_variant1,"[64, 32]",100,0.661859,0.3
bands_band_16_variant1,"[128, 64]",50,0.740184,0.2
bands_band_16_variant1,"[128, 64]",100,0.740184,0.2
bands_band_16_variant1,"[32, 16]",50,0.746194,0.1
bands_band_16_variant1,"[32, 16]",100,0.746194,0.2
glass,"[64, 32]",50,0.576152,0.1
glass,"[64, 32]",100,0.576152,0.2
glass,"[128, 64]",50,0.634146,0.1
glass,"[128, 64]",100,0.634146,0.3
glass,"[32, 16]",50,0.556098,0.1
glass,"[32, 16]",100,0.556098,0.2
annealing_variant1,"[64, 32]",50,0.665533,0.3
annealing_variant1,"[64, 32]",100,0.665533,0.7
annealing_variant1,"[128, 64]",50,0.676619,0.3
annealing_variant1,"[128, 64]",100,0.676619,0.6
annealing_variant1,"[32, 16]",50,0.69561,0.3
annealing_variant1,"[32, 16]",100,0.69561,0.5
bands_band_34_variant1,"[64, 32]",50,0.761124,0.1
bands_band_34_variant1,"[64, 32]",100,0.761124,0.3
bands_band_34_variant1,"[128, 64]",50,0.745098,0.1
bands_band_34_variant1,"[128, 64]",100,0.745098,0.2
bands_band_34_variant1,"[32, 16]",50,0.729544,0.2
bands_band_34_variant1,"[32, 16]",100,0.729544,0.2
