dataset,ICL_s0,ICL_s1,ICL_s2,ICL_mean,ICL_std,NeuTraL_s0,NeuTraL_s1,NeuTraL_s2,NeuTraL_mean,NeuTraL_std
abalone_variant1,0.3514,0.3872,0.4166,0.3851,0.0327,0.767,0.7711,0.7146,0.7509,0.0315
annealing_variant1,0.7866,0.6867,0.8007,0.758,0.0622,0.8604,0.8283,0.839,0.8426,0.0163
arrhythmia_variant1,0.8045,0.787,0.7829,0.7915,0.0115,0.7916,0.7927,0.7871,0.7905,0.003
audiology_variant1,0.6854,0.6409,0.7176,0.6813,0.0386,0.8718,0.735,0.8504,0.8191,0.0736
autos_variant1,0.6289,0.7698,0.7764,0.725,0.0833,0.6511,0.7449,0.724,0.7067,0.0492
bands_band_16_variant1,0.7821,0.8602,0.8129,0.8184,0.0393,0.8482,0.8854,0.8397,0.8578,0.0243
bands_band_27_variant1,0.6861,0.76,0.6992,0.7151,0.0394,0.8136,0.8253,0.8238,0.8209,0.0063
bands_band_34_variant1,0.6702,0.7323,0.7112,0.7046,0.0315,0.7973,0.8097,0.8284,0.8118,0.0157
bands_band_42_variant1,0.7324,0.6627,0.6303,0.6752,0.0522,0.8043,0.7918,0.821,0.8057,0.0146
bands_band_6_variant1,0.8216,0.7895,0.7553,0.7888,0.0331,0.9647,0.9284,0.9647,0.9526,0.021
breast_cancer_variant1,0.6767,0.588,0.6653,0.6433,0.0483,0.6352,0.6045,0.6473,0.629,0.0221
cardio,0.8713,0.8894,0.9272,0.896,0.0285,0.9576,0.9618,0.962,0.9604,0.0025
cardiotocography_2and3_33_variant1,0.639,0.7791,0.8365,0.7515,0.1016,0.7395,0.7414,0.7825,0.7545,0.0243
chess_nowin_145_variant1,0.6405,0.5849,0.5547,0.5934,0.0435,0.865,0.8582,0.8635,0.8622,0.0036
chess_nowin_16_variant1,0.8326,0.7604,0.8002,0.7978,0.0362,0.8582,0.8863,0.9126,0.8857,0.0272
chess_nowin_185_variant1,0.6425,0.5291,0.5111,0.5609,0.0713,0.842,0.8357,0.8357,0.8378,0.0036
chess_nowin_227_variant1,0.5317,0.6545,0.5086,0.5649,0.0784,0.8578,0.8473,0.8671,0.8574,0.0099
chess_nowin_34_variant1,0.7439,0.7117,0.724,0.7265,0.0162,0.8646,0.8542,0.8283,0.849,0.0187
chess_nowin_87_variant1,0.5859,0.6217,0.7385,0.6487,0.0798,0.835,0.838,0.845,0.8393,0.0052
creditA_plus_42_variant1,0.9061,0.9279,0.9359,0.9233,0.0154,0.9094,0.9348,0.9075,0.9172,0.0153
diabetes_tested_positive_26_variant1,0.9112,0.8729,0.9282,0.9041,0.0283,0.7535,0.7308,0.7358,0.7401,0.012
