dataset,status,best_auc,n_train,n_test,n_total,n_features,time_seconds
abalone_variant1,ok,0.351354,2049,2128,4177,8,97.79
annealing_variant1,ok,0.786596,378,420,798,38,7.27
arrhythmia_variant1,ok,0.804522,193,259,452,279,2.35
audiology_variant1,ok,0.685449,84,142,226,69,1.58
autos_variant1,ok,0.628889,90,115,205,25,3.17
bands_band_16_variant1,ok,0.782051,156,172,328,39,3.91
bands_band_27_variant1,ok,0.686135,156,183,339,39,3.83
bands_band_34_variant1,ok,0.670249,156,190,346,39,3.37
bands_band_42_variant1,ok,0.732448,156,198,354,39,3.58
bands_band_6_variant1,ok,0.821581,156,162,318,39,3.57
breast_cancer_variant1,ok,0.676704,100,186,286,9,6.56
cardio,ok,0.871331,828,1003,1831,21,21.05
cardiotocography_2and3_33_variant1,ok,0.639002,828,860,1688,21,21.26
chess_nowin_145_variant1,ok,0.640529,834,980,1814,36,17.69
chess_nowin_16_variant1,ok,0.832635,834,851,1685,36,17.42
chess_nowin_185_variant1,ok,0.642531,834,1020,1854,36,18.04
chess_nowin_227_variant1,ok,0.531705,834,1062,1896,36,17.69
chess_nowin_34_variant1,ok,0.743889,834,869,1703,36,17.6
chess_nowin_87_variant1,ok,0.585932,834,922,1756,36,17.54
creditA_plus_42_variant1,ok,0.906133,192,233,425,15,6.8
diabetes_tested_positive_26_variant1,ok,0.911231,250,276,526,8,13.4
ecoli,ok,0.834356,164,172,336,7,12.5
german_1_14_variant1,ok,0.86449,350,364,714,20,9.48
glass,ok,0.866235,102,112,214,9,6.81
heart270_2_16_variant1,ok,0.875,75,91,166,13,5.02
hepatitis_2_9_variant1,ok,0.956072,42,52,94,19,2.05
horse_1_12_variant1,ok,0.777322,122,134,256,27,3.21
ionosphere_b_24_variant1,ok,0.999263,112,137,249,34,2.52
iris_Irisvirginica_11_variant1,ok,0.818182,50,61,111,4,5.67
letter,ok,0.694613,750,850,1600,32,14.46
lymphography,ok,0.922535,71,77,148,18,4.61
monks_0_12_variant1,ok,0.593567,114,126,240,6,8.32
monks_0_25_variant1,ok,0.667719,114,139,253,6,8.31
monks_0_4_variant1,ok,0.714912,114,118,232,6,7.95
mushroom_p_221_variant1,ok,1.0,2104,2325,4429,22,55.16
mushroom_p_365_variant1,ok,0.999845,2104,2469,4573,22,54.06
mushroom_p_467_variant1,ok,0.999978,2104,2571,4675,22,54.9
mushroom_p_573_variant1,ok,0.999964,2104,2677,4781,22,54.88
mushroom_p_85_variant1,ok,0.999966,2104,2189,4293,22,55.49
musk,ok,1.0,1482,1580,3062,166,11.2
nhanes_age_364,ok,0.828284,957,1321,2278,8,44.16
optdigits,ok,0.969222,2533,2683,5216,64,32.21
pageblocks_1_258_variant1,ok,0.993056,2456,2715,5171,10,97.32
pima_TRUE_55_variant1,ok,0.875273,250,305,555,9,11.05
psdas_dropout_1421,ok,0.821696,1502,2922,4424,36,30.47
satimage2,ok,0.957442,2866,2937,5803,36,56.98
sick_sick_35_variant1,ok,0.820989,1770,1806,3576,29,34.65
sick_sick_72_variant1,ok,0.778589,1770,1843,3613,29,36.36
sonar_M_10_variant1,ok,0.971429,48,59,107,60,0.76
spambase_spam_56_variant1,ok,0.622809,1394,1450,2844,57,17.25
speech,ok,0.427957,1812,1874,3686,400,18.18
thyroid,ok,0.851602,1840,1932,3772,6,94.33
tic_tac_toe_negative_12_variant1,ok,0.734824,313,325,638,9,14.79
tic_tac_toe_negative_26_variant1,ok,0.696609,313,339,652,9,15.0
tic_tac_toe_negative_32_variant1,ok,0.73722,313,345,658,9,14.23
tic_tac_toe_negative_54_variant1,ok,0.745947,313,367,680,9,14.05
tic_tac_toe_negative_69_variant1,ok,0.691207,313,382,695,9,15.18
vertebral,ok,0.277143,105,135,240,6,8.27
vote_republican_29_variant1,ok,0.974851,134,162,296,16,5.86
vowels,ok,0.865576,703,753,1456,12,27.46
waveform_0_100_variant1,ok,0.325853,1672,1771,3443,21,45.99
wbc_malignant_39_variant1,ok,0.97355,222,261,483,9,12.04
wdbc_M_39_variant1,ok,0.999427,178,218,396,31,3.26
wine,ok,0.930508,60,69,129,13,2.47
wpbc_variant1,ok,0.596596,76,122,198,33,2.58
yeast_ERL_5_variant1,ok,0.986972,568,573,1141,8,26.69
zoo_variant1,ok,0.991597,42,59,101,16,2.63
