dataset,status,best_auc,n_train,n_test,n_total,n_features,time_seconds
abalone_variant1,ok,0.714569,2049,2128,4177,8,21.9
annealing_variant1,ok,0.839002,378,420,798,38,3.71
arrhythmia_variant1,ok,0.787094,193,259,452,279,2.67
audiology_variant1,ok,0.850361,84,142,226,69,1.22
autos_variant1,ok,0.724,90,115,205,25,1.23
bands_band_16_variant1,ok,0.839744,156,172,328,39,1.94
bands_band_27_variant1,ok,0.823837,156,183,339,39,2.13
bands_band_34_variant1,ok,0.828431,156,190,346,39,1.98
bands_band_42_variant1,ok,0.820971,156,198,354,39,1.92
bands_band_6_variant1,ok,0.964744,156,162,318,39,1.94
breast_cancer_variant1,ok,0.64735,100,186,286,9,1.28
cardio,ok,0.961972,828,1003,1831,21,8.51
cardiotocography_2and3_33_variant1,ok,0.782492,828,860,1688,21,8.33
chess_nowin_145_variant1,ok,0.863539,834,980,1814,36,8.85
chess_nowin_16_variant1,ok,0.91265,834,851,1685,36,8.48
chess_nowin_185_variant1,ok,0.835689,834,1020,1854,36,8.05
chess_nowin_227_variant1,ok,0.867148,834,1062,1896,36,10.05
chess_nowin_34_variant1,ok,0.828285,834,869,1703,36,8.3
chess_nowin_87_variant1,ok,0.845048,834,922,1756,36,8.38
creditA_plus_42_variant1,ok,0.907504,192,233,425,15,1.92
diabetes_tested_positive_26_variant1,ok,0.735846,250,276,526,8,2.51
ecoli,ok,0.858214,164,172,336,7,1.95
german_1_14_variant1,ok,0.483469,350,364,714,20,3.87
glass,ok,0.888889,102,112,214,9,1.27
heart270_2_16_variant1,ok,0.845833,75,91,166,13,1.16
hepatitis_2_9_variant1,ok,0.981912,42,52,94,19,0.61
horse_1_12_variant1,ok,0.608607,122,134,256,27,1.27
ionosphere_b_24_variant1,ok,1.0,112,137,249,34,1.36
iris_Irisvirginica_11_variant1,ok,0.545455,50,61,111,4,0.72
letter,ok,0.857187,750,850,1600,32,8.08
lymphography,ok,0.981221,71,77,148,18,1.37
monks_0_12_variant1,ok,0.635965,114,126,240,6,1.3
monks_0_25_variant1,ok,0.50807,114,139,253,6,1.33
monks_0_4_variant1,ok,0.559211,114,118,232,6,1.31
mushroom_p_221_variant1,ok,0.999531,2104,2325,4429,22,20.66
mushroom_p_365_variant1,ok,0.999941,2104,2469,4573,22,20.98
mushroom_p_467_variant1,ok,0.999941,2104,2571,4675,22,20.69
mushroom_p_573_variant1,ok,0.999876,2104,2677,4781,22,21.78
mushroom_p_85_variant1,ok,0.999994,2104,2189,4293,22,20.78
musk,ok,1.0,1482,1580,3062,166,15.09
nhanes_age_364,ok,0.855966,957,1321,2278,8,9.68
optdigits,ok,0.639729,2533,2683,5216,64,25.5
pageblocks_1_258_variant1,ok,0.995652,2456,2715,5171,10,24.33
pima_TRUE_55_variant1,ok,0.762182,250,305,555,9,2.64
psdas_dropout_1421,ok,0.824969,1502,2922,4424,36,14.61
satimage2,ok,0.997911,2866,2937,5803,36,28.61
sick_sick_35_variant1,ok,0.888384,1770,1806,3576,29,17.33
sick_sick_72_variant1,ok,0.818794,1770,1843,3613,29,18.34
sonar_M_10_variant1,ok,0.902041,48,59,107,60,0.56
spambase_spam_56_variant1,ok,0.751531,1394,1450,2844,57,13.01
speech,ok,0.512094,1812,1874,3686,400,19.07
thyroid,ok,0.977433,1840,1932,3772,6,19.84
tic_tac_toe_negative_12_variant1,ok,0.81869,313,325,638,9,3.32
tic_tac_toe_negative_26_variant1,ok,0.775498,313,339,652,9,3.03
tic_tac_toe_negative_32_variant1,ok,0.804912,313,345,658,9,2.8
tic_tac_toe_negative_54_variant1,ok,0.845521,313,367,680,9,3.16
tic_tac_toe_negative_69_variant1,ok,0.824142,313,382,695,9,3.41
vertebral,ok,0.668889,105,135,240,6,1.37
vote_republican_29_variant1,ok,0.98574,134,162,296,16,2.07
vowels,ok,0.908876,703,753,1456,12,6.99
waveform_0_100_variant1,ok,0.630763,1672,1771,3443,21,16.7
wbc_malignant_39_variant1,ok,0.78748,222,261,483,9,2.71
wdbc_M_39_variant1,ok,0.870649,178,218,396,31,1.91
wine,ok,0.652542,60,69,129,13,0.72
wpbc_variant1,ok,0.549787,76,122,198,33,1.22
yeast_ERL_5_variant1,ok,0.994718,568,573,1141,8,5.55
zoo_variant1,ok,0.998599,42,59,101,16,0.61
