dataset,ICL_s0,ICL_s1,ICL_s2,ICL_mean,ICL_std,NeuTraL_s0,NeuTraL_s1,NeuTraL_s2,NeuTraL_mean,NeuTraL_std,scatter_semi_seed2,DFNO
vertebral,0.2771,0.3921,0.3654,0.3449,0.0601,0.6314,0.5822,0.6689,0.6275,0.0435,0.8359,0.4029
zoo_variant1,0.9916,0.9146,0.972,0.9594,0.04,0.9944,0.9104,0.9986,0.9678,0.0498,0.9804,0.9664
wpbc_variant1,0.5966,0.52,0.5742,0.5636,0.0394,0.4746,0.4091,0.5498,0.4778,0.0704,0.7566,0.5645
autos_variant1,0.6289,0.7698,0.7764,0.725,0.0833,0.6511,0.7449,0.724,0.7067,0.0492,0.8049,0.636
glass,0.8662,0.8123,0.8867,0.8551,0.0384,0.8662,0.8706,0.8889,0.8752,0.012,0.918,0.8803
audiology_variant1,0.6854,0.6409,0.7176,0.6813,0.0386,0.8718,0.735,0.8504,0.8191,0.0736,0.9756,0.6489
bands_band_6_variant1,0.8216,0.7895,0.7553,0.7888,0.0331,0.9647,0.9284,0.9647,0.9526,0.021,0.9573,0.9306
annealing_variant1,0.7866,0.6867,0.8007,0.758,0.0622,0.8604,0.8283,0.839,0.8426,0.0163,0.8733,0.8068
cardiotocography_2and3_33_variant1,0.639,0.7791,0.8365,0.7515,0.1016,0.7395,0.7414,0.7825,0.7545,0.0243,0.9086,0.8088
thyroid,0.8516,0.9188,0.8684,0.8796,0.035,0.9785,0.9797,0.9774,0.9785,0.0011,0.9837,0.9479
cardio,0.8713,0.8894,0.9272,0.896,0.0285,0.9576,0.9618,0.962,0.9604,0.0025,0.9668,0.9137
sick_sick_72_variant1,0.7786,0.4472,0.5211,0.5823,0.1739,0.8212,0.815,0.8188,0.8183,0.0031,0.8451,0.8018
lymphography,0.9225,0.9601,0.9577,0.9468,0.021,0.9671,0.9789,0.9812,0.9757,0.0075,1.0,0.993
tic_tac_toe_negative_69_variant1,0.6912,0.7547,0.7695,0.7385,0.0416,0.8046,0.8173,0.8241,0.8154,0.0099,0.9914,0.9402
wine,0.9305,0.7559,0.6966,0.7944,0.1216,0.6559,0.6102,0.6525,0.6395,0.0255,0.9576,0.9475
tic_tac_toe_negative_12_variant1,0.7348,0.6163,0.7308,0.694,0.0673,0.8339,0.8176,0.8187,0.8234,0.0091,0.9888,0.9939
ecoli,0.8344,0.8357,0.8255,0.8319,0.0056,0.8603,0.878,0.8582,0.8655,0.0109,0.9332,0.9073
pageblocks_1_258_variant1,0.9931,0.985,0.9883,0.9888,0.0041,0.995,0.9967,0.9957,0.9958,0.0009,0.9797,0.9759
ionosphere_b_24_variant1,0.9993,1.0,1.0,0.9998,0.0004,1.0,1.0,1.0,1.0,0.0,1.0,1.0
wbc_malignant_39_variant1,0.9736,0.9688,0.9571,0.9665,0.0084,0.8472,0.7883,0.7875,0.8077,0.0342,0.9846,0.9983
