dataset,completed_seeds,seed0,seed1,seed2,mean_auc,std_auc
mammography,3,0.8570933049737298,0.8619001169129351,0.8609292465454341,0.8599742228106996,0.0025417342514809094
thyroid,3,0.9927906120086303,0.9914984183783847,0.9908610921082637,0.9917167074984263,0.0009831069964271757
wbc_malignant_39_variant1,3,0.9893739893739893,0.9851004851004852,0.993993993993994,0.9894894894894896,0.00444787930560627
glass,3,0.9083063646170442,0.9147788565264293,0.9050701186623517,0.9093851132686085,0.004943447351624425
ecoli,3,0.9107021131561008,0.9236537150647579,0.9168370824812543,0.917064303567371,0.006478790015625174
pageblocks_1_258_variant1,3,0.9959520812233991,0.996180821762217,0.9944045331642231,0.9955124787166131,0.0009663012308903687
shuttle,3,0.9945673432569723,0.9945276437699678,0.9949555535065051,0.9946835135111485,0.00023642828008163804
cardio,3,0.9769085962405188,0.9710344069473452,0.9664381114653182,0.9714603715510609,0.005248223245979628
cardiotocography_2and3_33_variant1,3,0.9084679931112821,0.919130848997838,0.9277051042468213,0.9184346487853139,0.009637433904427584
smtp,3,0.9528274779415371,0.9657633034081112,0.9585034585707377,0.9590314133067954,0.006484053306220669
tic_tac_toe_negative_69_variant1,3,0.979765708200213,0.9946288836412465,0.9833310181969719,0.9859085366794771,0.007759587437066289
nursery_variant1,3,0.9878567144125339,0.9840096931308333,0.9844468437342546,0.9854377504258739,0.002106256214017231
ionosphere_b_24_variant1,3,1.0,1.0,1.0,1.0,0.0
zoo_variant1,3,0.9775910364145659,0.9355742296918768,0.9761904761904762,0.9631185807656396,0.02386438453619433
sick_sick_72_variant1,3,0.9059068950373298,0.9007309116004769,0.8967705000313695,0.9011361022230586,0.004581655051038357
autos_variant1,3,0.8048888888888889,0.8115555555555556,0.7946666666666666,0.8037037037037037,0.008506593908121864
annealing_variant1,3,0.9206349206349206,0.9098639455782312,0.9008566389518771,0.9104518350550096,0.009902237984977627
lymphography,3,1.0,1.0,1.0,1.0,0.0
bands_band_6_variant1,3,0.9326923076923077,0.9177350427350428,0.9615384615384616,0.9373219373219374,0.022265668137237283
audiology_variant1,3,0.9909184726522187,0.9793601651186792,0.9791537667698659,0.9831441348469213,0.006733564902988296
