dataset,name,Full_mean,Full_std,RawMK_mean,RawMK_std,EmbMKdual_mean,EmbMKdual_std,EmbMKprecomp_mean,EmbMKprecomp_std,d_dual_vs_raw,d_dual_vs_full
vertebral,Vertebral,0.7345,0.0919,0.4122751322751323,0.0109527643518507,0.5841269841269842,0.05474971108779961,0.7116402116402117,0.06274025795361388,0.17185185185185187,-0.15037301587301588
thyroid,Thyroid,0.9809,0.0028,0.9202874399948549,0.0057497803447168,0.9714547995345765,0.004270049620841535,0.9846963734770924,0.0027951637073271424,0.051167359539721624,-0.00944520046542352
wbc_malignant_39_variant1,WBC,0.9922,0.0067,0.9965349965349968,0.001442595980226,0.7915992915992917,0.0891114891692259,0.3328713328713329,0.070403076217814,-0.20493570493570512,-0.20060070840070832
glass,Glass,0.8526,0.0577,0.8212873067241998,0.0480053250482604,0.6691837468536498,0.0765100785871141,0.6713412441567782,0.03737413923360567,-0.15210355987055002,-0.18341625314635024
ecoli,Ecoli,0.9314,0.0103,0.8252669847761872,0.0336463718054387,0.9359236537150647,0.019086571233810492,0.8872983412860713,0.007539495579657833,0.11065666893887749,0.0045236537150646905
pageblocks_1_258_variant1,PageBlocks,0.9755,0.0038,0.9576982496879136,0.0029924097843557,0.99292113762398,0.001242852600223895,0.9944586947170926,0.0010388000458681685,0.03522288793606643,0.01742113762398001
wine,Wine,0.9203,0.0373,0.5581920903954801,0.0880268777562138,0.7768361581920904,0.09080591849049503,0.7994350282485877,0.07687768900869635,0.21864406779661028,-0.1434638418079096
cardio,Cardio,0.9689,0.0018,0.8838399105932359,0.0102217128991511,0.46114103550621083,0.004248844711356928,0.850839104466674,0.015136343910366112,-0.42269887508702503,-0.5077589644937892
cardiotocography_2and3_33_variant1,Cardiotoco.,0.9139,0.008,0.8713006729935387,0.0077885258551583,0.9086634177323415,0.0022971811445179477,0.9244928120381566,0.003380289030070958,0.037362744738802744,-0.005236582267658552
tic_tac_toe_negative_69_variant1,TicTacToe-69,0.981,0.0177,0.1888379558889351,0.0364919056002048,0.1550832677378031,0.029462594281045598,0.8687008998163326,0.005789384122335196,-0.033754688151132,-0.8259167322621969
tic_tac_toe_negative_12_variant1,TicTacToe-12,0.9901,0.003,0.4180866169684061,0.1167866299996207,0.8128328008519702,0.04519195397810178,0.9999112531061413,0.00015371412917725605,0.3947461838835641,-0.1772671991480298
wpbc_variant1,WPBC,0.6529,0.0899,0.3888416075650118,0.0495158052111914,0.5674704491725769,0.03189481900826704,0.4197635933806147,0.04419921278269322,0.17862884160756515,-0.0854295508274231
ionosphere_b_24_variant1,Ionosphere,1.0,0.0,0.9445673549655852,0.0210414053199922,1.0,0.0,1.0,0.0,0.05543264503441481,0.0
zoo_variant1,Zoo,0.9687,0.0202,0.1451914098972922,0.0259135183685861,0.9402427637721754,0.03303462104637626,0.9514472455648925,0.031233853751032107,0.7950513538748832,-0.02845723622782459
sick_sick_72_variant1,Sick-72,0.8276,0.0156,0.7693654976263673,0.0534923494138837,0.5392773490599577,0.036861570515291174,0.8135443461530417,0.022650414627025477,-0.23008814856640958,-0.2883226509400423
autos_variant1,Autos,0.8224,0.019,0.3288888888888888,0.0368299395118216,0.6872592592592591,0.06799031642500289,0.7663703703703703,0.06560688511494506,0.35837037037037034,-0.1351407407407409
annealing_variant1,Annealing,0.8774,0.0084,0.6151003611321072,0.0054072071830248,0.777567817250357,0.028458683757736757,0.8839128243890149,0.010393809572117057,0.16246745611824975,-0.099832182749643
lymphography,Lympho.,0.9992,0.0014,0.754303599374022,0.0289726268882216,0.9953051643192489,0.0023474178403755652,0.9953051643192489,0.0023474178403755652,0.24100156494522684,-0.0038948356807511075
bands_band_6_variant1,Bands-6,0.9138,0.0444,0.5138888888888888,0.0231125081760511,0.8796296296296297,0.08228807903872531,0.9398148148148149,0.01924065905874651,0.3657407407407408,-0.034170370370370295
audiology_variant1,Audiology,0.9817,0.0083,0.6355693154454765,0.0827040355673304,0.9813553491572068,0.0063994583855430205,0.9833505331957344,0.005140658780384702,0.34578603371173033,-0.000344650842793226
