dataset,name,Full_mean,Full_std,RawMK_orig_mean,RawMK_orig_std,RawMK_ext_mean,RawMK_ext_std,Direct_orig_mean,Direct_orig_std,Direct_ext_mean,Direct_ext_std,EmbDual_orig_mean,EmbDual_orig_std,EmbDual_ext_mean,EmbDual_ext_std,EmbPrecomp_orig_mean,EmbPrecomp_orig_std,EmbPrecomp_ext_mean,EmbPrecomp_ext_std,EmbPrecomp_ext_bestnu,Direct_ext_bestnu,d_precompExt_vs_directExt,d_precomp_ext_vs_orig
vertebral,Vertebral,0.7345,0.0919,0.41227513227513235,0.010952764351850768,0.42772486772486773,0.018054349049752897,0.5475132275132275,0.07805543787296484,0.5475132275132275,0.07805543787296484,0.5841269841269842,0.05474971108779961,0.6505820105820106,0.07431306872111824,0.7116402116402117,0.06274025795361388,0.7116402116402117,0.06274025795361388,0.01,0.08333333333333333,0.16412698412698423,0.0
thyroid,Thyroid,0.9809,0.0028,0.9202874399948547,0.0057497803447168015,0.9232908644054253,0.0016475487742253789,0.9581703473720524,0.0018129470600849007,0.9581703473720524,0.0018129470600849007,0.9714547995345765,0.004270049620841535,0.9745166942451583,0.004501849861611371,0.9846963734770924,0.0027951637073271424,0.9846963734770924,0.0027951637073271424,0.03666666666666667,0.03666666666666667,0.026526026105039957,0.0
wbc_malignant_39_variant1,WBC,0.9922,0.0067,0.9965349965349967,0.001442595980226031,0.9964579964579965,0.0013386724147773834,0.9948794948794949,0.003978192416413968,0.9950719950719952,0.004044703446389595,0.7915992915992917,0.0891114891692259,0.7915992915992917,0.0891114891692259,0.3328713328713329,0.070403076217814,0.6607761607761607,0.028753498000703665,0.6333333333333333,0.5,-0.3342958342958344,0.32790482790482783
glass,Glass,0.8526,0.0577,0.8212873067241998,0.048005325048260494,0.7763394462423588,0.032079549701101724,0.4444444444444445,0.06298451165909388,0.6749370729953253,0.02986270362746437,0.6691837468536498,0.0765100785871141,0.7759798633585042,0.017932337489811902,0.6713412441567782,0.03737413923360567,0.7702265372168284,0.02066585119813167,0.6999999999999998,0.6999999999999998,0.09528946422150308,0.09888529306005023
ecoli,Ecoli,0.9314,0.0103,0.8252669847761872,0.03364637180543879,0.8370824812542604,0.05149603869190465,0.8804817087025677,0.014465616034898456,0.8829811406498523,0.014008691335422275,0.9359236537150647,0.019086571233810492,0.9338786639400135,0.027155534133663405,0.8872983412860713,0.007539495579657833,0.8872983412860713,0.007539495579657833,0.053333333333333344,0.5,0.004317200636218987,0.0
pageblocks_1_258_variant1,PageBlocks,0.9755,0.0038,0.9576982496879137,0.002992409784355731,0.965993906562382,0.001333290190187274,0.9643243635491698,0.0015434307358460201,0.9650431872654095,0.0012085111334693738,0.99292113762398,0.001242852600223895,0.9903276931700704,0.0029617872302099184,0.9944586947170926,0.0010388000458681685,0.9944586947170926,0.0010388000458681685,0.05333333333333334,0.3,0.029415507451683087,0.0
wine,Wine,0.9203,0.0373,0.5581920903954801,0.08802687775621383,0.6836158192090395,0.0534458499041007,0.855367231638418,0.023074099273064492,0.8892655367231638,0.012261318878085143,0.7768361581920904,0.09080591849049503,0.7994350282485877,0.06707954119749261,0.7994350282485877,0.07687768900869635,0.8129943502824858,0.0780458938293216,0.5666666666666667,0.6999999999999998,-0.07627118644067798,0.013559322033898091
cardio,Cardio,0.9689,0.0018,0.8838399105932359,0.01022171289915115,0.896330292037668,0.0019885892569286834,0.9589654098420723,0.003106341365061429,0.9589654098420723,0.003106341365061429,0.46114103550621083,0.004248844711356928,0.754193232201092,0.006932745609503153,0.850839104466674,0.015136343910366112,0.8514597303140229,0.014277878680283946,0.2333333333333333,0.04,-0.10750567952804946,0.000620625847348899
cardiotocography_2and3_33_variant1,Cardiotoco.,0.9139,0.008,0.8713006729935387,0.007788525855158333,0.8714716695369659,0.007478613179012188,0.8976341406812991,0.0079370861637445,0.8976341406812991,0.0079370861637445,0.9086634177323415,0.0022971811445179477,0.9083336386843038,0.0021395147401119066,0.9244928120381566,0.003380289030070958,0.9244928120381566,0.003380289030070958,0.01,0.06666666666666667,0.02685867135685749,0.0
tic_tac_toe_negative_69_variant1,TicTacToe-69,0.981,0.0177,0.18883795588893518,0.03649190560020489,0.27952956429133674,0.05699041917858098,0.9921748390980228,0.002607793275052752,0.9921748390980228,0.002607793275052752,0.1550832677378031,0.029462594281045598,0.1569971137966693,0.02909787803425567,0.8687008998163326,0.005789384122335196,0.8687008998163326,0.005789384122335196,0.01,0.03666666666666667,-0.12347393928169026,0.0
tic_tac_toe_negative_12_variant1,TicTacToe-12,0.9901,0.003,0.41808661696840616,0.11678662999962078,0.5874156904508342,0.13788911371228132,0.9991125310614128,0.0010759989042404719,0.9991125310614128,0.0010759989042404719,0.8128328008519702,0.04519195397810178,0.8128328008519702,0.04519195397810178,0.9999112531061413,0.00015371412917725605,0.9999112531061413,0.00015371412917725605,0.01,0.01,0.0007987220447284171,0.0
wpbc_variant1,WPBC,0.6529,0.0899,0.38884160756501185,0.049515805211191456,0.5030732860520094,0.09232956689358547,0.4957919621749409,0.026013323316272235,0.536548463356974,0.028992204587290578,0.5674704491725769,0.03189481900826704,0.5741843971631205,0.02795729927887633,0.4197635933806147,0.04419921278269322,0.42505910165484634,0.04469353266689754,0.48333333333333334,0.6333333333333333,-0.1114893617021277,0.005295508274231642
ionosphere_b_24_variant1,Ionosphere,1.0,0.0,0.9445673549655851,0.021041405319992254,0.9119960668633235,0.025783100300299504,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.01,0.01,0.0,0.0
