dataset,name,Full_mean,Full_std,RawMK_mean,RawMK_std,DirectOCSVM_mean,DirectOCSVM_std,d_RawMK,d_Direct
vertebral,Vertebral,0.7345,0.0919,0.41227513227513235,0.010952764351850768,0.5475132275132275,0.07805543787296484,0.3222248677248677,0.18698677248677253
thyroid,Thyroid,0.9809,0.0028,0.9202874399948547,0.0057497803447168015,0.9581703473720524,0.0018129470600849007,0.060612560005145255,0.022729652627947572
wbc_malignant_39_variant1,WBC,0.9922,0.0067,0.9965349965349967,0.001442595980226031,0.9948794948794949,0.003978192416413968,-0.0043349965349966935,-0.002679494879494926
glass,Glass,0.8526,0.0577,0.8212873067241998,0.048005325048260494,0.4444444444444445,0.06298451165909388,0.03131269327580022,0.40815555555555555
ecoli,Ecoli,0.9314,0.0103,0.8252669847761872,0.03364637180543879,0.8804817087025677,0.014465616034898456,0.1061330152238128,0.050918291297432305
pageblocks_1_258_variant1,PageBlocks,0.9755,0.0038,0.9576982496879137,0.002992409784355731,0.9643243635491698,0.0015434307358460201,0.017801750312086306,0.011175636450830195
wine,Wine,0.9203,0.0373,0.5581920903954801,0.08802687775621383,0.855367231638418,0.023074099273064492,0.3621079096045199,0.06493276836158202
cardio,Cardio,0.9689,0.0018,0.8838399105932359,0.01022171289915115,0.9589654098420723,0.003106341365061429,0.08506008940676413,0.009934590157927636
cardiotocography_2and3_33_variant1,Cardiotoco.,0.9139,0.008,0.8713006729935387,0.007788525855158333,0.8976341406812991,0.0079370861637445,0.042599327006461296,0.016265859318700948
tic_tac_toe_negative_12_variant1,TicTacToe-12,0.9901,0.003,0.41808661696840616,0.11678662999962078,0.9991125310614128,0.0010759989042404719,0.5720133830315939,-0.009012531061412865
tic_tac_toe_negative_69_variant1,TicTacToe-69,0.981,0.0177,0.18883795588893518,0.03649190560020489,0.9921748390980228,0.002607793275052752,0.7921620441110648,-0.01117483909802286
wpbc_variant1,WPBC,0.6529,0.0899,0.38884160756501185,0.049515805211191456,0.4957919621749409,0.026013323316272235,0.2640583924349882,0.1571080378250591
ionosphere_b_24_variant1,Ionosphere,1.0,0.0,0.9445673549655851,0.021041405319992254,1.0,0.0,0.05543264503441492,0.0
zoo_variant1,Zoo,0.9687,0.0202,0.14519140989729226,0.025913518368586193,0.8001867413632119,0.06335632494248447,0.8235085901027077,0.16851325863678812
sick_sick_72_variant1,Sick-72,0.8276,0.0156,0.7693654976263673,0.053492349413883714,0.8466967814793902,0.012112084690564228,0.0582345023736327,-0.0190967814793902
autos_variant1,Autos,0.8224,0.019,0.32888888888888884,0.036829939511821674,0.5078518518518518,0.07618085477168693,0.4935111111111112,0.31454814814814824
annealing_variant1,Annealing,0.8774,0.0084,0.6151003611321072,0.00540720718302487,0.8110985134794658,0.027702690389040382,0.26229963886789276,0.06630148652053414
lymphography,Lympho.,0.9992,0.0014,0.754303599374022,0.02897262688822163,1.0,0.0,0.24489640062597795,-0.0008000000000000229
bands_band_6_variant1,Bands-6,0.9138,0.0444,0.5138888888888888,0.023112508176051195,0.9497863247863249,0.005948466199604813,0.3999111111111111,-0.03598632478632491
audiology_variant1,Audiology,0.9817,0.0083,0.6355693154454765,0.08270403556733048,0.9528723770209838,0.0068278037943793925,0.34613068455452356,0.0288276229790162
