dataset,w,nu,auc
cardio,0.0,0.01,0.955349
cardio,0.0,0.05,0.962799
cardio,0.0,0.1,0.965295
cardio,0.0,0.2,0.960251
cardio,0.25,0.01,0.956053
cardio,0.25,0.05,0.963094
cardio,0.25,0.1,0.965799
cardio,0.25,0.2,0.960584
cardio,0.5,0.01,0.957289
cardio,0.5,0.05,0.963722
cardio,0.5,0.1,0.966706
cardio,0.5,0.2,0.961415
cardio,0.75,0.01,0.959874
cardio,0.75,0.05,0.965147
cardio,0.75,0.1,0.968247
cardio,0.75,0.2,0.963678
cardio,1.0,0.01,0.978739
cardio,1.0,0.05,0.971917
cardio,1.0,0.1,0.970166
cardio,1.0,0.2,0.969164
cardiotocography_2and3_33_variant1,0.0,0.01,0.899881
cardiotocography_2and3_33_variant1,0.0,0.05,0.902188
cardiotocography_2and3_33_variant1,0.0,0.1,0.898691
cardiotocography_2and3_33_variant1,0.0,0.2,0.890067
cardiotocography_2and3_33_variant1,0.25,0.01,0.900815
cardiotocography_2and3_33_variant1,0.25,0.05,0.902408
cardiotocography_2and3_33_variant1,0.25,0.1,0.898947
cardiotocography_2and3_33_variant1,0.25,0.2,0.890122
cardiotocography_2and3_33_variant1,0.5,0.01,0.902463
cardiotocography_2and3_33_variant1,0.5,0.05,0.90314
cardiotocography_2and3_33_variant1,0.5,0.1,0.899423
cardiotocography_2and3_33_variant1,0.5,0.2,0.890927
cardiotocography_2and3_33_variant1,0.75,0.01,0.908578
cardiotocography_2and3_33_variant1,0.75,0.05,0.906051
cardiotocography_2and3_33_variant1,0.75,0.1,0.900925
cardiotocography_2and3_33_variant1,0.75,0.2,0.89263
cardiotocography_2and3_33_variant1,1.0,0.01,0.902646
cardiotocography_2and3_33_variant1,1.0,0.05,0.898984
cardiotocography_2and3_33_variant1,1.0,0.1,0.891477
cardiotocography_2and3_33_variant1,1.0,0.2,0.883457
diabetes_tested_positive_26_variant1,0.0,0.01,0.943231
diabetes_tested_positive_26_variant1,0.0,0.05,0.936077
diabetes_tested_positive_26_variant1,0.0,0.1,0.960154
diabetes_tested_positive_26_variant1,0.0,0.2,0.956308
diabetes_tested_positive_26_variant1,0.25,0.01,0.942308
diabetes_tested_positive_26_variant1,0.25,0.05,0.936077
diabetes_tested_positive_26_variant1,0.25,0.1,0.959538
diabetes_tested_positive_26_variant1,0.25,0.2,0.955462
diabetes_tested_positive_26_variant1,0.5,0.01,0.944692
diabetes_tested_positive_26_variant1,0.5,0.05,0.935538
diabetes_tested_positive_26_variant1,0.5,0.1,0.958308
diabetes_tested_positive_26_variant1,0.5,0.2,0.954
diabetes_tested_positive_26_variant1,0.75,0.01,0.949077
diabetes_tested_positive_26_variant1,0.75,0.05,0.937077
diabetes_tested_positive_26_variant1,0.75,0.1,0.953077
diabetes_tested_positive_26_variant1,0.75,0.2,0.948231
diabetes_tested_positive_26_variant1,1.0,0.01,0.745846
diabetes_tested_positive_26_variant1,1.0,0.05,0.704692
diabetes_tested_positive_26_variant1,1.0,0.1,0.679
diabetes_tested_positive_26_variant1,1.0,0.2,0.697846
ionosphere_b_24_variant1,0.0,0.01,1.0
ionosphere_b_24_variant1,0.0,0.05,1.0
ionosphere_b_24_variant1,0.0,0.1,1.0
ionosphere_b_24_variant1,0.0,0.2,1.0
ionosphere_b_24_variant1,0.25,0.01,1.0
ionosphere_b_24_variant1,0.25,0.05,1.0
ionosphere_b_24_variant1,0.25,0.1,1.0
ionosphere_b_24_variant1,0.25,0.2,1.0
ionosphere_b_24_variant1,0.5,0.01,1.0
ionosphere_b_24_variant1,0.5,0.05,1.0
ionosphere_b_24_variant1,0.5,0.1,1.0
ionosphere_b_24_variant1,0.5,0.2,1.0
ionosphere_b_24_variant1,0.75,0.01,1.0
ionosphere_b_24_variant1,0.75,0.05,1.0
ionosphere_b_24_variant1,0.75,0.1,1.0
ionosphere_b_24_variant1,0.75,0.2,1.0
ionosphere_b_24_variant1,1.0,0.01,1.0
ionosphere_b_24_variant1,1.0,0.05,1.0
ionosphere_b_24_variant1,1.0,0.1,1.0
ionosphere_b_24_variant1,1.0,0.2,1.0
pageblocks_1_258_variant1,0.0,0.01,0.903948
pageblocks_1_258_variant1,0.0,0.05,0.939085
pageblocks_1_258_variant1,0.0,0.1,0.957133
pageblocks_1_258_variant1,0.0,0.2,0.963223
pageblocks_1_258_variant1,0.25,0.01,0.919469
pageblocks_1_258_variant1,0.25,0.05,0.945919
pageblocks_1_258_variant1,0.25,0.1,0.961408
pageblocks_1_258_variant1,0.25,0.2,0.966296
pageblocks_1_258_variant1,0.5,0.01,0.940626
pageblocks_1_258_variant1,0.5,0.05,0.956336
pageblocks_1_258_variant1,0.5,0.1,0.967428
pageblocks_1_258_variant1,0.5,0.2,0.97077
pageblocks_1_258_variant1,0.75,0.01,0.97052
pageblocks_1_258_variant1,0.75,0.05,0.969716
pageblocks_1_258_variant1,0.75,0.1,0.977649
pageblocks_1_258_variant1,0.75,0.2,0.977986
pageblocks_1_258_variant1,1.0,0.01,0.964088
pageblocks_1_258_variant1,1.0,0.05,0.969515
pageblocks_1_258_variant1,1.0,0.1,0.969356
pageblocks_1_258_variant1,1.0,0.2,0.970594
pima_TRUE_55_variant1,0.0,0.01,0.944145
pima_TRUE_55_variant1,0.0,0.05,0.941709
pima_TRUE_55_variant1,0.0,0.1,0.953018
pima_TRUE_55_variant1,0.0,0.2,0.946182
pima_TRUE_55_variant1,0.25,0.01,0.9448
pima_TRUE_55_variant1,0.25,0.05,0.941855
pima_TRUE_55_variant1,0.25,0.1,0.952436
pima_TRUE_55_variant1,0.25,0.2,0.945345
pima_TRUE_55_variant1,0.5,0.01,0.946327
pima_TRUE_55_variant1,0.5,0.05,0.941273
pima_TRUE_55_variant1,0.5,0.1,0.950909
pima_TRUE_55_variant1,0.5,0.2,0.944145
