dataset,group,latent_dim,lambda_scatter,auc,train_s
cardio,numerical,16,0.0,0.913331,
cardio,numerical,16,0.1,0.960461,
cardio,numerical,16,1.0,0.936405,
cardio,numerical,16,10.0,0.946862,
cardio,numerical,16,100.0,0.893168,
cardio,numerical,16,1000.0,0.904336,
cardio,numerical,32,0.0,0.894304,
cardio,numerical,32,0.1,0.92281,
cardio,numerical,32,1.0,0.952087,
cardio,numerical,32,10.0,0.950711,
cardio,numerical,32,100.0,0.884534,
cardio,numerical,32,1000.0,0.891767,
cardio,numerical,64,0.0,0.854906,
cardio,numerical,64,0.1,0.931286,
cardio,numerical,64,1.0,0.941671,
cardio,numerical,64,10.0,0.962692,
cardio,numerical,64,100.0,0.883916,
cardio,numerical,64,1000.0,0.879672,
cardio,numerical,128,0.0,0.916197,
cardio,numerical,128,0.1,0.920801,
cardio,numerical,128,1.0,0.938228,
cardio,numerical,128,10.0,0.805438,
cardio,numerical,128,100.0,0.893353,
cardio,numerical,128,1000.0,0.870382,
cardio,numerical,256,0.0,0.89187,
cardio,numerical,256,0.1,0.925958,
cardio,numerical,256,1.0,0.939618,
cardio,numerical,256,10.0,0.960704,
cardio,numerical,256,100.0,0.91433,
cardio,numerical,256,1000.0,0.919105,
cardiotocography_2and3_33_variant1,numerical,16,0.0,0.826073,
cardiotocography_2and3_33_variant1,numerical,16,0.1,0.869633,
cardiotocography_2and3_33_variant1,numerical,16,1.0,0.884794,
cardiotocography_2and3_33_variant1,numerical,16,10.0,0.893619,
cardiotocography_2and3_33_variant1,numerical,16,100.0,0.871995,
cardiotocography_2and3_33_variant1,numerical,16,1000.0,0.855681,
cardiotocography_2and3_33_variant1,numerical,32,0.0,0.852788,
cardiotocography_2and3_33_variant1,numerical,32,0.1,0.855314,
cardiotocography_2and3_33_variant1,numerical,32,1.0,0.87747,
cardiotocography_2and3_33_variant1,numerical,32,10.0,0.896164,
cardiotocography_2and3_33_variant1,numerical,32,100.0,0.890909,
cardiotocography_2and3_33_variant1,numerical,32,1000.0,0.882779,
cardiotocography_2and3_33_variant1,numerical,64,0.0,0.828435,
cardiotocography_2and3_33_variant1,numerical,64,0.1,0.872508,
cardiotocography_2and3_33_variant1,numerical,64,1.0,0.865715,
cardiotocography_2and3_33_variant1,numerical,64,10.0,0.895285,
cardiotocography_2and3_33_variant1,numerical,64,100.0,0.841875,
cardiotocography_2and3_33_variant1,numerical,64,1000.0,0.81159,
cardiotocography_2and3_33_variant1,numerical,128,0.0,0.830303,
cardiotocography_2and3_33_variant1,numerical,128,0.1,0.851982,
cardiotocography_2and3_33_variant1,numerical,128,1.0,0.880198,
cardiotocography_2and3_33_variant1,numerical,128,10.0,0.902335,
cardiotocography_2and3_33_variant1,numerical,128,100.0,0.827355,
cardiotocography_2and3_33_variant1,numerical,128,1000.0,0.769898,
cardiotocography_2and3_33_variant1,numerical,256,0.0,0.894534,
cardiotocography_2and3_33_variant1,numerical,256,0.1,0.853227,
cardiotocography_2and3_33_variant1,numerical,256,1.0,0.876755,
cardiotocography_2and3_33_variant1,numerical,256,10.0,0.897885,
cardiotocography_2and3_33_variant1,numerical,256,100.0,0.797528,
cardiotocography_2and3_33_variant1,numerical,256,1000.0,0.716763,
diabetes_tested_positive_26_variant1,numerical,16,0.0,0.590923,
diabetes_tested_positive_26_variant1,numerical,16,0.1,0.620615,
diabetes_tested_positive_26_variant1,numerical,16,1.0,0.854923,
diabetes_tested_positive_26_variant1,numerical,16,10.0,0.936769,
diabetes_tested_positive_26_variant1,numerical,16,100.0,0.918154,
diabetes_tested_positive_26_variant1,numerical,16,1000.0,0.951615,
diabetes_tested_positive_26_variant1,numerical,32,0.0,0.559615,
diabetes_tested_positive_26_variant1,numerical,32,0.1,0.538615,
diabetes_tested_positive_26_variant1,numerical,32,1.0,0.832462,
diabetes_tested_positive_26_variant1,numerical,32,10.0,0.933769,
diabetes_tested_positive_26_variant1,numerical,32,100.0,0.949615,
diabetes_tested_positive_26_variant1,numerical,32,1000.0,0.947385,
diabetes_tested_positive_26_variant1,numerical,64,0.0,0.579308,
diabetes_tested_positive_26_variant1,numerical,64,0.1,0.569077,
diabetes_tested_positive_26_variant1,numerical,64,1.0,0.808385,
diabetes_tested_positive_26_variant1,numerical,64,10.0,0.920615,
diabetes_tested_positive_26_variant1,numerical,64,100.0,0.946615,
diabetes_tested_positive_26_variant1,numerical,64,1000.0,0.947077,
diabetes_tested_positive_26_variant1,numerical,128,0.0,0.590769,
diabetes_tested_positive_26_variant1,numerical,128,0.1,0.558538,
diabetes_tested_positive_26_variant1,numerical,128,1.0,0.805231,
diabetes_tested_positive_26_variant1,numerical,128,10.0,0.932308,
diabetes_tested_positive_26_variant1,numerical,128,100.0,0.946385,
diabetes_tested_positive_26_variant1,numerical,128,1000.0,0.945385,
diabetes_tested_positive_26_variant1,numerical,256,0.0,0.592923,
diabetes_tested_positive_26_variant1,numerical,256,0.1,0.565923,
diabetes_tested_positive_26_variant1,numerical,256,1.0,0.833308,
diabetes_tested_positive_26_variant1,numerical,256,10.0,0.931846,
diabetes_tested_positive_26_variant1,numerical,256,100.0,0.943154,
diabetes_tested_positive_26_variant1,numerical,256,1000.0,0.944077,
ionosphere_b_24_variant1,numerical,16,0.0,0.742222,
ionosphere_b_24_variant1,numerical,16,0.1,0.78037,
ionosphere_b_24_variant1,numerical,16,1.0,0.905556,
ionosphere_b_24_variant1,numerical,16,10.0,0.999444,
ionosphere_b_24_variant1,numerical,16,100.0,1.0,
ionosphere_b_24_variant1,numerical,16,1000.0,1.0,
ionosphere_b_24_variant1,numerical,32,0.0,0.691481,
ionosphere_b_24_variant1,numerical,32,0.1,0.777593,
ionosphere_b_24_variant1,numerical,32,1.0,0.917963,
ionosphere_b_24_variant1,numerical,32,10.0,1.0,
ionosphere_b_24_variant1,numerical,32,100.0,1.0,
ionosphere_b_24_variant1,numerical,32,1000.0,1.0,
ionosphere_b_24_variant1,numerical,64,0.0,0.665741,
ionosphere_b_24_variant1,numerical,64,0.1,0.792407,
ionosphere_b_24_variant1,numerical,64,1.0,0.896667,
ionosphere_b_24_variant1,numerical,64,10.0,1.0,
ionosphere_b_24_variant1,numerical,64,100.0,1.0,
ionosphere_b_24_variant1,numerical,64,1000.0,0.99963,
ionosphere_b_24_variant1,numerical,128,0.0,0.849074,
ionosphere_b_24_variant1,numerical,128,0.1,0.831111,
ionosphere_b_24_variant1,numerical,128,1.0,0.91037,
ionosphere_b_24_variant1,numerical,128,10.0,0.995556,
ionosphere_b_24_variant1,numerical,128,100.0,0.999074,
ionosphere_b_24_variant1,numerical,128,1000.0,0.999074,
ionosphere_b_24_variant1,numerical,256,0.0,0.647593,
ionosphere_b_24_variant1,numerical,256,0.1,0.78463,
ionosphere_b_24_variant1,numerical,256,1.0,0.906481,
ionosphere_b_24_variant1,numerical,256,10.0,0.995556,
ionosphere_b_24_variant1,numerical,256,100.0,0.994815,
