dataset,group,best_dim,best_lambda,best_auc
annealing_variant1,extended,64,1.0,0.9009
arrhythmia_variant1,extended,64,1000.0,0.8553
audiology_variant1,extended,256,10.0,0.9992
breast_cancer_variant1,extended,16,10.0,0.708
creditA_plus_42_variant1,extended,32,1.0,0.8402
ecoli,extended,128,1000.0,0.9575
german_1_14_variant1,extended,256,10.0,0.9403
glass,extended,32,100.0,0.8678
heart270_2_16_variant1,extended,256,10.0,0.9704
hepatitis_2_9_variant1,extended,64,10.0,1.0
horse_1_12_variant1,extended,256,100.0,0.9686
iris_Irisvirginica_11_variant1,extended,16,1.0,0.9718
letter,extended,128,1000.0,0.8482
lymphography,extended,16,10.0,1.0
monks_0_12_variant1,extended,32,100.0,1.0
monks_0_25_variant1,extended,256,10.0,1.0
monks_0_4_variant1,extended,128,10.0,1.0
musk,extended,16,0.0,0.9994
sick_sick_35_variant1,extended,128,0.1,0.9079
sick_sick_72_variant1,extended,32,1.0,0.889
thyroid,extended,16,1.0,0.9846
tic_tac_toe_negative_12_variant1,extended,16,10.0,1.0
tic_tac_toe_negative_26_variant1,extended,16,100.0,1.0
tic_tac_toe_negative_32_variant1,extended,16,10.0,1.0
tic_tac_toe_negative_54_variant1,extended,16,10.0,1.0
tic_tac_toe_negative_69_variant1,extended,16,10.0,1.0
vertebral,extended,64,100.0,0.8116
vote_republican_29_variant1,extended,128,100.0,0.9986
vowels,extended,32,1000.0,0.9827
wine,extended,32,1000.0,0.942
zoo_variant1,extended,256,100.0,1.0
abalone_variant1,mixed,128,1.0,0.760738
autos_variant1,mixed,32,10.0,0.925333
bands_band_16_variant1,mixed,128,10.0,0.895833
bands_band_27_variant1,mixed,64,10.0,0.856719
bands_band_34_variant1,mixed,32,1000.0,0.851056
bands_band_42_variant1,mixed,32,10.0,0.82265
bands_band_6_variant1,mixed,16,10.0,1.0
nhanes_age_364,mixed,16,100.0,0.984391
psdas_dropout_1421,mixed,256,100.0,0.765808
chess_nowin_145_variant1,nominal,128,10.0,0.854317
chess_nowin_16_variant1,nominal,128,10.0,0.950007
chess_nowin_185_variant1,nominal,128,10.0,0.851521
chess_nowin_227_variant1,nominal,32,10.0,0.702048
chess_nowin_34_variant1,nominal,128,10.0,0.953195
chess_nowin_87_variant1,nominal,64,10.0,0.897192
cardio,numerical,64,10.0,0.962692
cardiotocography_2and3_33_variant1,numerical,128,10.0,0.902335
diabetes_tested_positive_26_variant1,numerical,16,1000.0,0.951615
ionosphere_b_24_variant1,numerical,16,100.0,1.0
pageblocks_1_258_variant1,numerical,64,100.0,0.970456
pima_TRUE_55_variant1,numerical,16,1000.0,0.932764
sonar_M_10_variant1,numerical,16,10.0,1.0
spambase_spam_56_variant1,numerical,16,1.0,0.73947
thyroid_disease_variant1,numerical,128,1000.0,0.705997
waveform_0_100_variant1,numerical,256,1.0,0.759115
wbc_malignant_39_variant1,numerical,32,1000.0,0.987872
wdbc_M_39_variant1,numerical,256,10.0,0.996409
wpbc_variant1,numerical,32,100.0,0.583204
yeast_ERL_5_variant1,numerical,64,0.1,0.998768
