stem,name,KFGOD_mean,Disent_AD_mean,Disent_AD_std,DeepSVDD_mean,DeepSVDD_std,DFNO_mean,LMKAD_mean,LMKAD_std,ICL_mean,ICL_std,NeuTraLAD_mean,NeuTraLAD_std,scatter_mean,scatter_std
vertebral,Vertebral,0.4542567625794979,0.740503522158094,0.0223085975143856,0.532723823995949,0.0047198236180324,0.4364357804719847,0.6607939669748372,0.0465817234260778,0.4225311549515657,0.0547246328137038,0.6235900702478442,0.0522961037189107,0.6689761091969356,0.1060477747304351
thyroid,Thyroid,0.8640230585486404,0.951836510128726,0.0026143808370573,0.8552057418481439,0.0297838674211352,0.9088238395021592,0.9473046797159348,0.0049002589926429,0.8815719775081873,0.0509022296706317,0.9354192421412474,0.0020417338759862,0.9356262951270364,0.0069780039969169
wbc_malignant_39_variant1,WBC,0.9920857998349912,0.9256214659728031,0.0154317204589642,0.7974335672290284,0.0253478456192021,0.9852516027496332,0.9863886260292274,0.0039594342675354,0.9366992651238067,0.0039428667991962,0.815684593348119,0.0298448515580068,0.9848664091054812,0.0034913147190528
glass,Glass,0.7522324498029751,0.8920231910787287,0.0248333877700251,0.895826223008242,0.0112499956361096,0.8971499589146108,0.6126831757712196,0.0239824859559235,0.8430077817372913,0.0443619763322248,0.8886154369539295,0.0031507504250737,0.8606730005773583,0.0732654999620023
ecoli,Ecoli,0.8778622909288577,0.7976923211868715,0.0540970187011516,0.780624930917109,0.058786236361861,0.8792159729834118,0.820955364680766,0.1008959603337401,0.8664272150505218,0.0079702148349169,0.8659333863278343,0.0180073199423995,0.8895181825492147,0.0243618640063916
pageblocks_1_258_variant1,PageBlocks,0.8954977003788183,0.8715996727479504,0.0091212908264081,0.8741279737889336,0.0308271573690922,0.9483686531898003,0.9870527418476512,0.0020407350099924,0.973589175235972,0.0049745271534739,0.9790923075656168,0.0011812502479847,0.9526981426102784,0.0032702238507896
wine,Wine,0.8792663098842575,0.6410961023946485,0.0462357982324912,0.9348348179595276,0.0119475457064436,0.948240298587624,0.8565409854606946,0.0346587015520014,0.7970409514794029,0.1072164267182467,0.672973178441223,0.0179351218905612,0.7198779594794041,0.2268857520993513
cardio,Cardio,0.8902104216933845,0.6808202130864216,0.0092460887770857,0.865010295864499,0.0169146786948071,0.8793321758747947,0.923664233547691,0.0039234919241451,0.8523660079071371,0.0516395995517069,0.902964243688475,0.0080713774576306,0.9101800205497635,0.0104988869910163
cardiotocography_2and3_33_variant1,Cardiotoco.,0.8354938577078284,0.780533578846768,0.0361410819171767,0.7926379649476484,0.0064141174667522,0.7784754242006674,0.8202520955828533,0.0093191799994644,0.7158269100470896,0.0817311027536734,0.7192166219615114,0.0303704759747039,0.8360997125523175,0.0220911970671466
tic_tac_toe_negative_12_variant1,TicTacToe-12,0.8210489667192808,0.7953930665185062,0.0932337719435595,0.7139976959722896,0.0297660056372652,1.0,0.9327733167925372,0.0035679554419267,0.7103287351153869,0.0716272488302343,0.8114073297424795,0.0134218667764995,0.7466808825918646,0.2665515563061915
tic_tac_toe_negative_69_variant1,TicTacToe-69,0.6774604285934663,0.7508544934540784,0.0107266699447164,0.6053571334918806,0.0197613485286513,0.9903689569683196,0.7140535413685939,0.0267263800864347,0.6892572822518642,0.0282111343294168,0.7738215431932862,0.0153393857291029,0.965038038473496,0.0341060871081874
wpbc_variant1,WPBC,0.5386302878678427,0.6286763226961316,0.0219648641069661,0.5538557173383872,0.0122251585115774,0.5609277927930041,0.5053343802525418,0.0087357643086071,0.5943545573352479,0.0509535059223428,0.5173034561357941,0.0674770198916222,0.6339715529897095,0.0759775445064351
ionosphere_b_24_variant1,Ionosphere,0.993310961716756,0.9032367289435728,0.0314166378942231,0.9970369782457512,0.0051321042222908,1.0,1.0,0.0,0.9970369782457512,0.0051321042222908,1.0,0.0,0.995545456806342,0.0077154951359261
zoo_variant1,Zoo,0.5292561240249631,0.8427618727217596,0.0505550165474823,0.934819142643334,0.0468504632357694,0.9105666656873972,0.8023629870955199,0.0375138660047922,0.9222426230385204,0.0389068213336977,0.9632478975934796,0.0329753624658685,0.9130359224201504,0.0484688250709341
sick_sick_72_variant1,Sick-72,0.7444924706656921,0.8108999542497152,0.0048953223102973,0.72590710224475,0.043205233086492,0.8210738062054778,0.782251695248323,0.0487646613644615,0.5843132132331843,0.1711222170135653,0.7985119952219798,0.0147996265586487,0.8159287467937378,0.0100172637861299
autos_variant1,Autos,0.6244997998398398,0.7160697433438138,0.0141250605174031,0.6840555292238418,0.0458481123650103,0.6131883886702356,0.8059910711722201,0.0213653615666791,0.7201015789435025,0.0727439696175793,0.6921266809974681,0.0586599196823831,0.780405264359108,0.0212470007503758
annealing_variant1,Annealing,0.767936606363636,0.6965642451094803,0.0123094790060776,0.7510456496429198,0.0254058903444102,0.7431555498869603,0.8002075914539816,0.0351626185981279,0.7070584654974924,0.0493259709166311,0.7918970622535517,0.0130839419796328,0.8119410351335986,0.024670038011447
lymphography,Lympho.,0.9786452262557864,0.717391044450096,0.0180444866307816,0.918880149483233,0.0330838348944597,0.9929327736346236,0.988118475728356,0.0148845315939806,0.9149699528509636,0.010654701816412,0.9444609344744536,0.0042992896561711,0.9952885157564156,0.0040802650444741
bands_band_6_variant1,Bands-6,0.7748724736544398,0.69243517047384,0.0297619240266257,0.92722355257599,0.0725018633852655,0.8641729409064322,0.9402375254772442,0.0292090816308893,0.7634160370728768,0.0431544618584458,0.9324185996838644,0.0380642614656836,0.8955921158370966,0.0447252524180009
audiology_variant1,Audiology,0.7536891516255932,0.8254667441564948,0.0173551803144429,0.9332705125927084,0.0205808205049552,0.8370879808961673,0.783514916953675,0.0800071522425171,0.6534622016190798,0.0156333129350972,0.8064109380568074,0.0657651905632103,0.9480190112203616,0.0222877251567424
