dataset,group,latent_dim,lambda_scatter,split_seed,auc,train_s
cardio,numerical,16,0.0,0,0.95032,5.18
cardio,numerical,16,0.0,1,0.896443,5.18
cardio,numerical,16,0.0,2,0.900929,5.18
cardio,numerical,16,0.0,3,0.868219,5.18
cardio,numerical,16,0.0,4,0.751305,5.18
cardio,numerical,16,0.1,0,0.962062,4.33
cardio,numerical,16,0.1,1,0.969839,4.33
cardio,numerical,16,0.1,2,0.966775,4.33
cardio,numerical,16,0.1,3,0.978241,4.33
cardio,numerical,16,0.1,4,0.956765,4.33
cardio,numerical,16,1.0,0,0.944638,4.55
cardio,numerical,16,1.0,1,0.943168,4.55
cardio,numerical,16,1.0,2,0.942028,4.55
cardio,numerical,16,1.0,3,0.939163,4.55
cardio,numerical,16,1.0,4,0.939018,4.55
cardio,numerical,16,10.0,0,0.940798,4.75
cardio,numerical,16,10.0,1,0.927105,4.75
cardio,numerical,16,10.0,2,0.793332,4.75
cardio,numerical,16,10.0,3,0.938173,4.75
cardio,numerical,16,10.0,4,0.761041,4.75
cardio,numerical,16,100.0,0,0.900249,4.64
cardio,numerical,16,100.0,1,0.796616,4.64
cardio,numerical,16,100.0,2,0.808309,4.64
cardio,numerical,16,100.0,3,0.92222,4.64
cardio,numerical,16,100.0,4,0.818347,4.64
cardio,numerical,16,1000.0,0,0.891874,4.66
cardio,numerical,16,1000.0,1,0.781054,4.66
cardio,numerical,16,1000.0,2,0.806914,4.66
cardio,numerical,16,1000.0,3,0.919733,4.66
cardio,numerical,16,1000.0,4,0.823479,4.66
cardio,numerical,32,0.0,0,0.887181,4.32
cardio,numerical,32,0.0,1,0.901911,4.32
cardio,numerical,32,0.0,2,0.883918,4.32
cardio,numerical,32,0.0,3,0.827175,4.32
cardio,numerical,32,0.0,4,0.882379,4.32
cardio,numerical,32,0.1,0,0.970066,4.59
cardio,numerical,32,0.1,1,0.957939,4.59
cardio,numerical,32,0.1,2,0.954559,4.59
cardio,numerical,32,0.1,3,0.961169,4.59
cardio,numerical,32,0.1,4,0.971666,4.59
cardio,numerical,32,1.0,0,0.957294,4.53
cardio,numerical,32,1.0,1,0.937081,4.53
cardio,numerical,32,1.0,2,0.945415,4.53
cardio,numerical,32,1.0,3,0.93052,4.53
cardio,numerical,32,1.0,4,0.943903,4.53
cardio,numerical,32,10.0,0,0.946383,4.31
cardio,numerical,32,10.0,1,0.948465,4.31
cardio,numerical,32,10.0,2,0.93875,4.31
cardio,numerical,32,10.0,3,0.953041,4.31
cardio,numerical,32,10.0,4,0.93401,4.31
cardio,numerical,32,100.0,0,0.858896,4.72
cardio,numerical,32,100.0,1,0.836993,4.72
cardio,numerical,32,100.0,2,0.827581,4.72
cardio,numerical,32,100.0,3,0.892231,4.72
cardio,numerical,32,100.0,4,0.840304,4.72
cardio,numerical,32,1000.0,0,0.848927,4.66
cardio,numerical,32,1000.0,1,0.838594,4.66
cardio,numerical,32,1000.0,2,0.833688,4.66
cardio,numerical,32,1000.0,3,0.895343,4.66
cardio,numerical,32,1000.0,4,0.841521,4.66
cardio,numerical,64,0.0,0,0.8577,4.51
cardio,numerical,64,0.0,1,0.847092,4.51
cardio,numerical,64,0.0,2,0.816828,4.51
cardio,numerical,64,0.0,3,0.790212,4.51
cardio,numerical,64,0.0,4,0.878882,4.51
cardio,numerical,64,0.1,0,0.96312,4.71
cardio,numerical,64,0.1,1,0.947208,4.71
cardio,numerical,64,0.1,2,0.911976,4.71
cardio,numerical,64,0.1,3,0.925181,4.71
cardio,numerical,64,0.1,4,0.939575,4.71
cardio,numerical,64,1.0,0,0.957905,4.82
cardio,numerical,64,1.0,1,0.942983,4.82
cardio,numerical,64,1.0,2,0.945332,4.82
cardio,numerical,64,1.0,3,0.931681,4.82
cardio,numerical,64,1.0,4,0.949839,4.82
cardio,numerical,64,10.0,0,0.919912,5.11
cardio,numerical,64,10.0,1,0.948795,5.11
cardio,numerical,64,10.0,2,0.947785,5.11
cardio,numerical,64,10.0,3,0.95638,5.11
cardio,numerical,64,10.0,4,0.94986,5.11
cardio,numerical,64,100.0,0,0.857405,4.65
cardio,numerical,64,100.0,1,0.82306,4.65
cardio,numerical,64,100.0,2,0.793455,4.65
cardio,numerical,64,100.0,3,0.873956,4.65
cardio,numerical,64,100.0,4,0.796093,4.65
cardio,numerical,64,1000.0,0,0.850796,4.32
cardio,numerical,64,1000.0,1,0.805286,4.32
cardio,numerical,64,1000.0,2,0.777117,4.32
cardio,numerical,64,1000.0,3,0.870514,4.32
cardio,numerical,64,1000.0,4,0.779776,4.32
cardio,numerical,128,0.0,0,0.81452,4.91
cardio,numerical,128,0.0,1,0.929345,4.91
cardio,numerical,128,0.0,2,0.86657,4.91
cardio,numerical,128,0.0,3,0.830246,4.91
cardio,numerical,128,0.0,4,0.822558,4.91
cardio,numerical,128,0.1,0,0.961017,4.5
cardio,numerical,128,0.1,1,0.95098,4.5
cardio,numerical,128,0.1,2,0.932601,4.5
cardio,numerical,128,0.1,3,0.948719,4.5
cardio,numerical,128,0.1,4,0.947002,4.5
cardio,numerical,128,1.0,0,0.96224,4.73
cardio,numerical,128,1.0,1,0.945387,4.73
cardio,numerical,128,1.0,2,0.945367,4.73
cardio,numerical,128,1.0,3,0.936538,4.73
cardio,numerical,128,1.0,4,0.944686,4.73
cardio,numerical,128,10.0,0,0.820978,4.82
cardio,numerical,128,10.0,1,0.801968,4.82
cardio,numerical,128,10.0,2,0.802373,4.82
cardio,numerical,128,10.0,3,0.867264,4.82
cardio,numerical,128,10.0,4,0.797887,4.82
cardio,numerical,128,100.0,0,0.879631,4.55
cardio,numerical,128,100.0,1,0.720519,4.55
cardio,numerical,128,100.0,2,0.714356,4.55
cardio,numerical,128,100.0,3,0.911063,4.55
cardio,numerical,128,100.0,4,0.696844,4.55
cardio,numerical,128,1000.0,0,0.866446,4.95
cardio,numerical,128,1000.0,1,0.709149,4.95
cardio,numerical,128,1000.0,2,0.691121,4.95
cardio,numerical,128,1000.0,3,0.895742,4.95
cardio,numerical,128,1000.0,4,0.723157,4.95
cardio,numerical,256,0.0,0,0.870637,4.72
cardio,numerical,256,0.0,1,0.862001,4.72
cardio,numerical,256,0.0,2,0.842297,4.72
cardio,numerical,256,0.0,3,0.825602,4.72
cardio,numerical,256,0.0,4,0.84163,4.72
cardio,numerical,256,0.1,0,0.969337,4.89
cardio,numerical,256,0.1,1,0.958413,4.89
cardio,numerical,256,0.1,2,0.933426,4.89
cardio,numerical,256,0.1,3,0.957349,4.89
cardio,numerical,256,0.1,4,0.957273,4.89
cardio,numerical,256,1.0,0,0.955837,4.86
cardio,numerical,256,1.0,1,0.941691,4.86
cardio,numerical,256,1.0,2,0.890211,4.86
cardio,numerical,256,1.0,3,0.941079,4.86
cardio,numerical,256,1.0,4,0.946713,4.86
cardio,numerical,256,10.0,0,0.949832,4.85
cardio,numerical,256,10.0,1,0.949647,4.85
cardio,numerical,256,10.0,2,0.939712,4.85
cardio,numerical,256,10.0,3,0.959973,4.85
cardio,numerical,256,10.0,4,0.949159,4.85
cardio,numerical,256,100.0,0,0.902928,5.11
cardio,numerical,256,100.0,1,0.81509,5.11
cardio,numerical,256,100.0,2,0.840511,5.11
cardio,numerical,256,100.0,3,0.912828,5.11
cardio,numerical,256,100.0,4,0.796746,5.11
