dataset,group,best_dim,best_lambda,best_auc_mean,best_auc_std
annealing_variant1,extended,128,10.0,0.850025,0.024428
arrhythmia_variant1,extended,32,100.0,0.796828,0.010634
audiology_variant1,extended,16,100.0,0.979897,0.007778
breast_cancer_variant1,extended,16,10.0,0.649144,0.040665
creditA_plus_42_variant1,extended,32,1.0,0.815133,0.027004
ecoli,extended,128,100.0,0.928289,0.015924
german_1_14_variant1,extended,128,10.0,0.929959,0.018648
glass,extended,32,1000.0,0.808414,0.073039
heart270_2_16_variant1,extended,128,1.0,0.849167,0.021675
hepatitis_2_9_variant1,extended,256,10.0,0.968475,0.012712
horse_1_12_variant1,extended,128,10.0,0.815028,0.052001
iris_Irisvirginica_11_variant1,extended,256,1.0,0.967273,0.010365
letter,extended,128,1000.0,0.823069,0.015612
lymphography,extended,64,10.0,0.999531,0.00105
monks_0_12_variant1,extended,128,10.0,0.994883,0.006006
monks_0_25_variant1,extended,256,10.0,0.992772,0.005947
monks_0_4_variant1,extended,128,100.0,0.998684,0.001961
musk,extended,128,10.0,0.999982,3.6e-05
sick_sick_35_variant1,extended,32,1.0,0.865984,0.02282
sick_sick_72_variant1,extended,32,1.0,0.826972,0.018608
thyroid,extended,32,10.0,0.98028,0.002322
tic_tac_toe_negative_12_variant1,extended,256,100.0,0.983866,0.009564
tic_tac_toe_negative_26_variant1,extended,256,100.0,0.979012,0.015312
tic_tac_toe_negative_32_variant1,extended,256,1000.0,0.971046,0.012379
tic_tac_toe_negative_54_variant1,extended,128,0.0,0.942942,0.060647
tic_tac_toe_negative_69_variant1,extended,128,0.0,0.932787,0.071365
vertebral,extended,32,1000.0,0.642349,0.066527
vote_republican_29_variant1,extended,16,10.0,0.994296,0.002713
vowels,extended,32,1000.0,0.977058,0.003431
wine,extended,64,1000.0,0.894915,0.018176
zoo_variant1,extended,32,1000.0,0.955462,0.018697
abalone_variant1,mixed,16,1000.0,0.760755,0.009565
autos_variant1,mixed,256,10.0,0.7856,0.031217
bands_band_16_variant1,mixed,256,1000.0,0.813702,0.012407
bands_band_27_variant1,mixed,256,100.0,0.727493,0.018913
bands_band_34_variant1,mixed,128,10.0,0.739706,0.02131
bands_band_42_variant1,mixed,256,1000.0,0.70754,0.038573
bands_band_6_variant1,mixed,128,10.0,0.905556,0.04471
nhanes_age_364,mixed,64,0.1,0.974752,0.00752
psdas_dropout_1421,mixed,128,10.0,0.773416,0.009275
chess_nowin_145_variant1,nominal,256,10.0,0.916586,0.007577
chess_nowin_16_variant1,nominal,128,10.0,0.971197,0.004703
chess_nowin_185_variant1,nominal,256,10.0,0.89724,0.008452
chess_nowin_227_variant1,nominal,256,10.0,0.891847,0.013793
chess_nowin_34_variant1,nominal,256,10.0,0.956161,0.003729
chess_nowin_87_variant1,nominal,256,10.0,0.939285,0.007596
cardio,numerical,16,0.1,0.966736,0.008113
cardiotocography_2and3_33_variant1,numerical,128,10.0,0.912066,0.00683
diabetes_tested_positive_26_variant1,numerical,16,10.0,0.942369,0.0222
ionosphere_b_24_variant1,numerical,16,100.0,0.999484,0.001154
pageblocks_1_258_variant1,numerical,256,100.0,0.972557,0.00574
pima_TRUE_55_variant1,numerical,16,1000.0,0.923578,0.009945
sonar_M_10_variant1,numerical,128,10.0,0.955918,0.032831
spambase_spam_56_variant1,numerical,128,0.1,0.719679,0.02176
thyroid_disease_variant1,numerical,16,0.1,0.663525,0.024364
waveform_0_100_variant1,numerical,128,1.0,0.774401,0.011721
wbc_malignant_39_variant1,numerical,16,100.0,0.991199,0.006306
wdbc_M_39_variant1,numerical,256,1000.0,0.993497,0.001994
wpbc_variant1,numerical,64,0.0,0.631319,0.073128
yeast_ERL_5_variant1,numerical,64,0.1,0.999225,0.000912
