dataset,group,latent_dim,lambda_scatter,auc_mean,auc_std,n_split
abalone_variant1,mixed,16,0.0,0.486624,0.024153,5
abalone_variant1,mixed,16,0.1,0.703824,0.034456,5
abalone_variant1,mixed,16,1.0,0.608833,0.009845,5
abalone_variant1,mixed,16,10.0,0.659761,0.019669,5
abalone_variant1,mixed,16,100.0,0.740792,0.0051,5
abalone_variant1,mixed,16,1000.0,0.760755,0.009565,5
abalone_variant1,mixed,32,0.0,0.501749,0.016897,5
abalone_variant1,mixed,32,0.1,0.721101,0.026853,5
abalone_variant1,mixed,32,1.0,0.598021,0.010852,5
abalone_variant1,mixed,32,10.0,0.65377,0.009657,5
abalone_variant1,mixed,32,100.0,0.707851,0.010163,5
abalone_variant1,mixed,32,1000.0,0.712518,0.007734,5
abalone_variant1,mixed,64,0.0,0.506563,0.011583,5
abalone_variant1,mixed,64,0.1,0.748709,0.024715,5
abalone_variant1,mixed,64,1.0,0.606697,0.007058,5
abalone_variant1,mixed,64,10.0,0.679561,0.00953,5
abalone_variant1,mixed,64,100.0,0.6948,0.018,5
abalone_variant1,mixed,64,1000.0,0.703886,0.018979,5
abalone_variant1,mixed,128,0.0,0.504055,0.008164,5
abalone_variant1,mixed,128,0.1,0.713006,0.020269,5
abalone_variant1,mixed,128,1.0,0.601792,0.006627,5
abalone_variant1,mixed,128,10.0,0.676848,0.017493,5
abalone_variant1,mixed,128,100.0,0.676194,0.016052,5
abalone_variant1,mixed,128,1000.0,0.681621,0.020236,5
abalone_variant1,mixed,256,0.0,0.490898,0.014011,5
abalone_variant1,mixed,256,0.1,0.733073,0.021813,5
abalone_variant1,mixed,256,1.0,0.602924,0.005065,5
abalone_variant1,mixed,256,10.0,0.684336,0.012127,5
abalone_variant1,mixed,256,100.0,0.703041,0.015344,5
abalone_variant1,mixed,256,1000.0,0.702158,0.016779,5
annealing_variant1,extended,16,0.0,0.626657,0.072768,5
annealing_variant1,extended,16,0.1,0.681658,0.041416,5
annealing_variant1,extended,16,1.0,0.673255,0.020828,5
annealing_variant1,extended,16,10.0,0.834379,0.040005,5
annealing_variant1,extended,16,100.0,0.789632,0.026024,5
annealing_variant1,extended,16,1000.0,0.777198,0.017322,5
annealing_variant1,extended,32,0.0,0.612333,0.151077,5
annealing_variant1,extended,32,0.1,0.778042,0.03756,5
annealing_variant1,extended,32,1.0,0.683207,0.042389,5
annealing_variant1,extended,32,10.0,0.835122,0.0183,5
annealing_variant1,extended,32,100.0,0.775019,0.029006,5
annealing_variant1,extended,32,1000.0,0.742983,0.036921,5
annealing_variant1,extended,64,0.0,0.470862,0.082249,5
annealing_variant1,extended,64,0.1,0.822084,0.028278,5
