stem,name,D,KFGOD_mean,KFGOD_std,Disent_mean,Disent_std,DFNO_mean,DFNO_std,DIF_mean,DIF_std,LMKAD_mean,LMKAD_std,ICL_mean,ICL_std,NeuTraLAD_mean,NeuTraLAD_std,SCMK_mean,SCMK_std
vertebral,Vertebral,6,0.3898,,0.5302,,0.4029,,0.459,,0.655344,0.066745,0.3449,0.0601,0.6275,0.0435,0.7345,0.0919
thyroid,Thyroid,6,0.9212,,0.9627,,0.9479,,0.9753,,0.985219,0.002288,0.8796,0.035,0.9785,0.0011,0.9809,0.0028
wbc_malignant_39_variant1,WBC,9,0.9967,,0.9813,,0.9983,,0.9394,,0.991953,0.003427,0.9665,0.0084,0.8077,0.0342,0.9922,0.0067
glass,Glass,9,0.7,,0.8298,,0.8803,,0.7751,,0.587918,0.069166,0.8551,0.0384,0.8752,0.012,0.8526,0.0577
ecoli,Ecoli,9,0.9263,,0.9399,,0.9073,,0.8637,,0.814133,0.110025,0.8319,0.0056,0.8655,0.0109,0.9314,0.0103
pageblocks_1_258_variant1,PageBlocks,10,0.9571,,0.9706,,0.9759,,0.9802,,0.995243,0.001278,0.9888,0.0041,0.9958,0.0009,0.9755,0.0038
wine,Wine,13,0.8874,,0.921,,0.9475,,0.5092,,0.905085,0.010585,0.7944,0.1216,0.6395,0.0255,0.9203,0.0373
cardio,Cardio,21,0.9498,,0.9447,,0.9137,,0.9183,,0.972912,0.002552,0.896,0.0285,0.9604,0.0025,0.9689,0.0018
cardiotocography_2and3_33_variant1,Cardiotoco.,22,0.8695,,0.889,,0.8088,,0.7956,,0.872705,0.014352,0.7515,0.1016,0.7545,0.0243,0.9139,0.008
tic_tac_toe_negative_69_variant1,TicTacToe-69,27,0.6901,,0.7703,,0.9402,,0.8297,,0.706935,0.037161,0.7385,0.0416,0.8154,0.0099,0.981,0.0177
tic_tac_toe_negative_12_variant1,TicTacToe-12,27,0.8982,,0.9795,,0.9939,,0.8292,,0.937788,0.004229,0.694,0.0673,0.8234,0.0091,0.9901,0.003
wpbc_variant1,WPBC,33,0.4936,,0.5181,,0.5645,,0.5013,,0.470355,0.015762,0.5636,0.0394,0.4778,0.0704,0.6529,0.0899
ionosphere_b_24_variant1,Ionosphere,35,0.9991,,0.9887,,1.0,,0.9989,,1.0,0.0,0.9998,0.0004,1.0,0.0,1.0,0.0
zoo_variant1,Zoo,36,0.4573,,0.8431,,0.9664,,0.8109,,0.841737,0.047226,0.9594,0.04,0.9678,0.0498,0.9687,0.0202
sick_sick_72_variant1,Sick-72,53,0.7602,,0.782,,0.8018,,0.7972,,0.8455,0.048746,0.5823,0.1739,0.8183,0.0031,0.8276,0.0156
autos_variant1,Autos,54,0.6247,,0.6398,,0.636,,0.4969,,0.803852,0.021004,0.725,0.0833,0.7067,0.0492,0.8224,0.019
annealing_variant1,Annealing,56,0.7835,,0.5425,,0.8068,,0.7921,,0.841753,0.017684,0.758,0.0622,0.8426,0.0163,0.8774,0.0084
lymphography,Lympho.,59,0.9883,,0.8333,,0.993,,0.9824,,0.995305,0.006211,0.9468,0.021,0.9757,0.0075,0.9992,0.0014
bands_band_6_variant1,Bands-6,62,0.8221,,0.8013,,0.9306,,0.8162,,0.940883,0.025199,0.7888,0.0331,0.9526,0.021,0.9138,0.0444
audiology_variant1,Audiology,154,0.8312,,0.7587,,0.6489,,0.5487,,0.830685,0.079319,0.6813,0.0386,0.8191,0.0736,0.9817,0.0083
