dataset,KFGOD,Disent-AD,DeepSVDD,DFNO,LMKAD,ICL,NeuTraLAD,SCMK
vertebral,0.3898,0.7805,0.5444,0.3727,0.7302,0.3654,0.6689,0.8359
zoo_variant1,0.4573,0.8761,0.9706,0.9342,0.8011,0.972,0.9986,0.9804
wpbc_variant1,0.4936,0.6221,0.5279,0.5563,0.4882,0.5742,0.5498,0.7566
autos_variant1,0.6247,0.7329,0.7302,0.6227,0.7964,0.7764,0.724,0.8049
glass,0.7,0.9364,0.8932,0.8575,0.6677,0.8867,0.8889,0.918
audiology_variant1,0.8312,0.9101,0.9725,0.9028,0.7401,0.7176,0.8504,0.9756
bands_band_6_variant1,0.8221,0.6774,0.969,0.9092,0.9647,0.7553,0.9647,0.9573
annealing_variant1,0.7835,0.7396,0.7939,0.759,0.8373,0.8007,0.839,0.8733
cardiotocography_2and3_33_variant1,0.8695,0.7895,0.8246,0.8095,0.8785,0.8365,0.7825,0.9086
thyroid,0.9212,0.9853,0.9092,0.953,0.9826,0.8684,0.9774,0.9837
cardio,0.9498,0.7614,0.9332,0.9142,0.9702,0.9272,0.962,0.9668
sick_sick_72_variant1,0.7602,0.8064,0.7683,0.8327,0.8358,0.5211,0.8188,0.8451
lymphography,0.9883,0.7254,0.9225,0.9977,0.9883,0.9577,0.9812,1.0
tic_tac_toe_negative_69_variant1,0.6901,0.7885,0.632,0.9988,0.7156,0.7695,0.8241,0.9914
wine,0.8874,0.6466,0.9322,0.9571,0.8966,0.6966,0.6525,0.9576
tic_tac_toe_negative_12_variant1,0.8982,0.8058,0.7998,1.0,0.9404,0.7308,0.8187,0.9888
ecoli,0.9263,0.7914,0.7355,0.9052,0.88,0.8255,0.8582,0.9332
pageblocks_1_258_variant1,0.9571,0.9487,0.939,0.9747,0.9952,0.9883,0.9957,0.9797
ionosphere_b_24_variant1,0.9991,0.9499,1.0,1.0,1.0,1.0,1.0,1.0
wbc_malignant_39_variant1,0.9967,0.9611,0.8495,0.9971,0.9958,0.9571,0.7875,0.9846
