name,s0,s1,s2,mean,std
Annealing,0.871756,0.887062,0.873268,0.8774,0.0084
Audiology,0.991125,0.978328,0.975645,0.9817,0.0083
Autos,0.819556,0.842667,0.804889,0.8224,0.019
Bands-6,0.915598,0.86859,0.957265,0.9138,0.0444
Cardio,0.970066,0.969839,0.966775,0.9689,0.0018
Cardiotoco.,0.909897,0.923088,0.908615,0.9139,0.008
Ecoli,0.920245,0.940695,0.933197,0.9314,0.0103
Glass,0.809061,0.830636,0.918015,0.8526,0.0577
Ionosphere,1.0,1.0,1.0,1.0,0.0
Lympho.,0.997653,1.0,1.0,0.9992,0.0014
PageBlocks,0.974531,0.972201,0.979712,0.9755,0.0038
Sick-72,0.822519,0.815296,0.84512,0.8276,0.0156
Thyroid,0.977986,0.981026,0.983669,0.9809,0.0028
TicTacToe-12,0.99361,0.988019,0.988818,0.9901,0.003
TicTacToe-69,0.990971,0.96055,0.991434,0.981,0.0177
Vertebral,0.656508,0.711111,0.835873,0.7345,0.0919
WBC,0.994687,0.997228,0.984638,0.9922,0.0067
WPBC,0.59773,0.604255,0.756596,0.6529,0.0899
Wine,0.920339,0.883051,0.957627,0.9203,0.0373
Zoo,0.980392,0.945378,0.980392,0.9687,0.0202
