name,seed0,seed2,seed4,mean,std
Annealing,0.8718,0.8733,0.836,0.8603,0.0211
Audiology,0.9911,0.9756,0.9701,0.9789,0.0109
Autos,0.8196,0.8049,0.7387,0.7877,0.0431
Bands-6,0.9156,0.9573,0.8697,0.9142,0.0438
Cardio,0.9701,0.9668,0.9717,0.9695,0.0025
Cardiotoco.,0.9099,0.9086,0.9096,0.9094,0.0007
Ecoli,0.9202,0.9332,0.9468,0.9334,0.0133
Glass,0.8091,0.918,0.7476,0.8249,0.0863
Ionosphere,1.0,1.0,1.0,1.0,0.0
Lympho.,0.9977,1.0,1.0,0.9992,0.0014
PageBlocks,0.9745,0.9797,0.9725,0.9756,0.0037
Sick-72,0.8225,0.8451,0.8779,0.8485,0.0278
Thyroid,0.978,0.9837,0.9816,0.9811,0.0029
TicTacToe-12,0.9936,0.9888,0.98,0.9875,0.0069
TicTacToe-69,0.991,0.9914,0.8264,0.9363,0.0951
Vertebral,0.6565,0.8359,0.606,0.6995,0.1208
WBC,0.9947,0.9846,0.9961,0.9918,0.0062
WPBC,0.5977,0.7566,0.6542,0.6695,0.0805
Wine,0.9203,0.9576,0.9763,0.9514,0.0285
Zoo,0.9804,0.9804,0.9356,0.9655,0.0259
