dataset,group,scatter_semi_seed2,KFGOD,GBRAD,Disent_AD,MFIOD,ILGNI,WFRDA,DFNO,DIF,ECOD,wins,rank,worst_gap,mean_gap
vertebral,extended,0.8359,0.3898,0.255,0.5302,0.3348,0.4244,0.3525,0.4029,0.459,0.42,9,1,0.3057,0.4394
zoo_variant1,extended,0.9804,0.4573,0.9258,0.8431,0.6723,0.5889,0.5259,0.9664,0.8109,0.5819,9,1,0.014,0.2723
wpbc_variant1,numerical,0.7566,0.4936,0.5393,0.5181,0.4961,0.421,0.5277,0.5645,0.5013,0.481,9,1,0.1921,0.2519
autos_variant1,mixed,0.8049,0.6247,0.6819,0.6398,0.4404,0.4702,0.6722,0.636,0.4969,0.5829,9,1,0.123,0.2221
glass,extended,0.918,0.7,0.684,0.8298,0.7252,0.4818,0.7458,0.8803,0.7751,0.6206,9,1,0.0377,0.2022
audiology_variant1,extended,0.9756,0.8312,0.5576,0.7587,0.8417,0.8732,0.8336,0.6489,0.5487,0.8326,9,1,0.1024,0.2282
bands_band_6_variant1,mixed,0.9573,0.8221,0.6677,0.8013,0.5454,0.8745,0.8232,0.9306,0.8162,0.9359,9,1,0.0214,0.1554
annealing_variant1,extended,0.8733,0.7835,0.8201,0.5425,0.743,0.6864,0.7387,0.8068,0.7921,0.7874,9,1,0.0532,0.1288
cardiotocography_2and3_33_variant1,numerical,0.9086,0.8695,0.6453,0.889,0.6966,0.8111,0.8649,0.8088,0.7956,0.8711,9,1,0.0196,0.1028
thyroid,extended,0.9837,0.9212,0.8016,0.9627,0.9687,0.5957,0.9568,0.9479,0.9753,0.9771,9,1,0.0066,0.0829
cardio,numerical,0.9668,0.9498,0.8706,0.9447,0.8345,0.8873,0.922,0.9137,0.9183,0.935,9,1,0.017,0.0584
sick_sick_72_variant1,extended,0.8451,0.7602,0.7041,0.782,0.7783,0.8069,0.8365,0.8018,0.7972,0.8425,9,1,0.0026,0.0552
lymphography,extended,1.0,0.9883,0.8685,0.8333,0.9859,0.9906,0.993,0.993,0.9824,0.9965,9,1,0.0035,0.0409
tic_tac_toe_negative_69_variant1,extended,0.9914,0.6901,0.6448,0.7703,0.7111,0.6885,0.6599,0.9402,0.8297,0.7235,9,1,0.0512,0.2516
wine,extended,0.9576,0.8874,0.9706,0.921,0.8538,0.7445,0.9151,0.9475,0.5092,0.7328,8,2,-0.013,0.1263
tic_tac_toe_negative_12_variant1,extended,0.9888,0.8982,0.7501,0.9795,0.8244,0.8126,0.9135,0.9939,0.8292,0.9482,8,2,-0.0051,0.1055
ecoli,extended,0.9332,0.9263,0.9181,0.9399,0.8345,0.6381,0.8746,0.9073,0.8637,0.7808,8,2,-0.0067,0.0795
pageblocks_1_258_variant1,numerical,0.9797,0.9571,0.9368,0.9706,0.922,0.9145,0.944,0.9759,0.9802,0.9376,8,2,-0.0005,0.031
ionosphere_b_24_variant1,numerical,1.0,0.9991,0.9457,0.9887,0.9996,0.9981,0.9928,1.0,0.9989,0.9943,8,1,0.0,0.0092
wbc_malignant_39_variant1,numerical,0.9846,0.9967,0.9964,0.9813,0.9951,0.988,0.9968,0.9983,0.9394,0.9955,2,8,-0.0137,-0.0029
