dataset,N,anomaly_rate,n_train,latent_dim,auc_ocsvm,best_nu,train_time_s
cardio,1831,0.0961,1655,16,0.921148,0.1,117.62
cardio,1831,0.0961,1655,32,0.89382,0.1,109.74
cardio,1831,0.0961,1655,64,0.875251,0.1,137.12
cardio,1831,0.0961,1655,128,0.863087,0.01,194.82
cardio,1831,0.0961,1655,256,0.865961,0.1,287.61
cardiotocography_2and3_33_variant1,1688,0.0195,1655,16,0.828069,0.05,112.53
cardiotocography_2and3_33_variant1,1688,0.0195,1655,32,0.851781,0.01,129.04
cardiotocography_2and3_33_variant1,1688,0.0195,1655,64,0.862309,0.01,132.13
cardiotocography_2and3_33_variant1,1688,0.0195,1655,128,0.841252,0.01,201.35
cardiotocography_2and3_33_variant1,1688,0.0195,1655,256,0.913082,0.01,238.94
diabetes_tested_positive_26_variant1,526,0.0494,500,16,0.590385,0.01,28.37
diabetes_tested_positive_26_variant1,526,0.0494,500,32,0.556462,0.01,31.35
diabetes_tested_positive_26_variant1,526,0.0494,500,64,0.576538,0.01,34.33
diabetes_tested_positive_26_variant1,526,0.0494,500,128,0.581846,0.01,46.06
diabetes_tested_positive_26_variant1,526,0.0494,500,256,0.595308,0.01,59.4
ionosphere_b_24_variant1,249,0.0964,225,16,0.742222,0.01,5.23
ionosphere_b_24_variant1,249,0.0964,225,32,0.697037,0.01,7.64
ionosphere_b_24_variant1,249,0.0964,225,64,0.660556,0.01,8.29
ionosphere_b_24_variant1,249,0.0964,225,128,0.600926,0.01,13.77
ionosphere_b_24_variant1,249,0.0964,225,256,0.650556,0.01,18.62
iris_Irisvirginica_11_variant1,111,0.0991,100,16,0.456364,0.1,3.11
iris_Irisvirginica_11_variant1,111,0.0991,100,32,0.596364,0.05,3.41
iris_Irisvirginica_11_variant1,111,0.0991,100,64,0.558182,0.05,3.27
iris_Irisvirginica_11_variant1,111,0.0991,100,128,0.531818,0.05,3.38
iris_Irisvirginica_11_variant1,111,0.0991,100,256,0.602727,0.05,4.03
pageblocks_1_258_variant1,5171,0.0499,4913,16,0.842381,0.01,317.43
pageblocks_1_258_variant1,5171,0.0499,4913,32,0.815776,0.01,378.38
pageblocks_1_258_variant1,5171,0.0499,4913,64,0.808676,0.01,455.88
pageblocks_1_258_variant1,5171,0.0499,4913,128,0.792903,0.01,633.7
pageblocks_1_258_variant1,5171,0.0499,4913,256,0.802085,0.01,1019.62
pima_TRUE_55_variant1,555,0.0991,500,16,0.621491,0.1,31.15
pima_TRUE_55_variant1,555,0.0991,500,32,0.626873,0.01,37.27
pima_TRUE_55_variant1,555,0.0991,500,64,0.640545,0.01,36.3
pima_TRUE_55_variant1,555,0.0991,500,128,0.669127,0.01,42.67
pima_TRUE_55_variant1,555,0.0991,500,256,0.655527,0.01,57.72
sonar_M_10_variant1,107,0.0935,97,16,0.778351,0.05,2.75
sonar_M_10_variant1,107,0.0935,97,32,0.690722,0.1,2.67
sonar_M_10_variant1,107,0.0935,97,64,0.549485,0.2,2.84
sonar_M_10_variant1,107,0.0935,97,128,0.735052,0.01,3.16
sonar_M_10_variant1,107,0.0935,97,256,0.703093,0.01,3.61
spambase_spam_56_variant1,2844,0.0197,2788,16,0.449586,0.2,172.48
spambase_spam_56_variant1,2844,0.0197,2788,32,0.533908,0.2,178.19
spambase_spam_56_variant1,2844,0.0197,2788,64,0.534043,0.2,196.44
spambase_spam_56_variant1,2844,0.0197,2788,128,0.560002,0.2,246.25
spambase_spam_56_variant1,2844,0.0197,2788,256,0.573453,0.1,319.52
waveform_0_100_variant1,3443,0.029,3343,16,0.564334,0.01,199.69
waveform_0_100_variant1,3443,0.029,3343,32,0.563276,0.01,221.64
waveform_0_100_variant1,3443,0.029,3343,64,0.558896,0.01,228.25
waveform_0_100_variant1,3443,0.029,3343,128,0.544726,0.01,291.38
waveform_0_100_variant1,3443,0.029,3343,256,0.552276,0.01,404.33
wbc_malignant_39_variant1,483,0.0807,444,16,0.477766,0.2,22.23
wbc_malignant_39_variant1,483,0.0807,444,32,0.495611,0.2,22.95
wbc_malignant_39_variant1,483,0.0807,444,64,0.489547,0.2,25.49
wbc_malignant_39_variant1,483,0.0807,444,128,0.525295,0.2,29.1
wbc_malignant_39_variant1,483,0.0807,444,256,0.518827,0.2,40.04
wdbc_M_39_variant1,396,0.0985,357,16,0.687065,0.2,13.83
wdbc_M_39_variant1,396,0.0985,357,32,0.787115,0.2,15.11
wdbc_M_39_variant1,396,0.0985,357,64,0.702435,0.2,17.71
wdbc_M_39_variant1,396,0.0985,357,128,0.630899,0.01,24.13
wdbc_M_39_variant1,396,0.0985,357,256,0.771385,0.01,34.62
wpbc_variant1,198,0.2374,151,16,0.577568,0.2,3.97
wpbc_variant1,198,0.2374,151,32,0.537128,0.2,4.25
wpbc_variant1,198,0.2374,151,64,0.553614,0.2,5.04
wpbc_variant1,198,0.2374,151,128,0.575314,0.2,7.15
wpbc_variant1,198,0.2374,151,256,0.550937,0.2,9.5
yeast_ERL_5_variant1,1141,0.0044,1136,16,0.995246,0.1,64.14
yeast_ERL_5_variant1,1141,0.0044,1136,32,0.981514,0.01,64.79
yeast_ERL_5_variant1,1141,0.0044,1136,64,0.992077,0.2,73.13
yeast_ERL_5_variant1,1141,0.0044,1136,128,0.984155,0.01,87.39
yeast_ERL_5_variant1,1141,0.0044,1136,256,0.977993,0.05,123.52
