dataset,nu,auc,n_support,fit_time_s
abalone_variant1,0.01,0.589219,43,0.07
abalone_variant1,0.05,0.637956,207,0.29
abalone_variant1,0.1,0.66288,412,0.59
abalone_variant1,0.2,0.668767,821,1.13
abalone_variant1,0.3,0.673734,1231,1.67
abalone_variant1,0.5,0.664875,2051,2.69
annealing_variant1,0.01,0.770282,12,0.01
annealing_variant1,0.05,0.78962,40,0.02
annealing_variant1,0.1,0.773841,79,0.03
annealing_variant1,0.2,0.753149,156,0.06
annealing_variant1,0.3,0.757496,230,0.08
annealing_variant1,0.5,0.77044,381,0.13
annthyroid,0.01,0.677249,68,0.15
annthyroid,0.05,0.632555,335,0.74
annthyroid,0.1,0.62152,667,1.46
annthyroid,0.2,0.611841,1334,2.96
annthyroid,0.3,0.606432,2000,4.35
annthyroid,0.5,0.5981,3333,7.11
arrhythmia_variant1,0.01,0.688766,9,0.01
arrhythmia_variant1,0.05,0.723897,22,0.01
arrhythmia_variant1,0.1,0.741561,42,0.02
arrhythmia_variant1,0.2,0.766329,80,0.04
arrhythmia_variant1,0.3,0.774297,118,0.05
arrhythmia_variant1,0.5,0.781324,196,0.08
audiology_variant1,0.01,0.951313,15,0.0
audiology_variant1,0.05,0.951313,17,0.0
audiology_variant1,0.1,0.950794,25,0.01
audiology_variant1,0.2,0.953805,38,0.01
audiology_variant1,0.3,0.952559,54,0.01
audiology_variant1,0.5,0.950171,89,0.01
autos_variant1,0.01,0.476444,13,0.0
autos_variant1,0.05,0.445778,19,0.0
autos_variant1,0.1,0.417778,24,0.0
autos_variant1,0.2,0.414222,41,0.01
autos_variant1,0.3,0.474667,56,0.01
autos_variant1,0.5,0.519778,93,0.01
bands_band_16_variant1,0.01,0.721955,19,0.01
bands_band_16_variant1,0.05,0.772837,21,0.01
bands_band_16_variant1,0.1,0.828726,37,0.01
bands_band_16_variant1,0.2,0.841747,69,0.01
bands_band_16_variant1,0.3,0.832732,98,0.02
bands_band_16_variant1,0.5,0.823117,158,0.02
bands_band_27_variant1,0.01,0.712963,20,0.01
