dataset,N,D,anomaly_rate,best_nu,best_auc,auc@0.01,auc@0.05,auc@0.1,auc@0.2,auc@0.3,auc@0.5
abalone_variant1,4177,10,0.0189,0.3,0.673734,0.589219,0.637956,0.66288,0.668767,0.673734,0.664875
annealing_variant1,798,56,0.0526,0.05,0.78962,0.770282,0.78962,0.773841,0.753149,0.757496,0.77044
annthyroid,7200,6,0.0742,0.01,0.677249,0.677249,0.632555,0.62152,0.611841,0.606432,0.5981
arrhythmia_variant1,452,345,0.146,0.5,0.781324,0.688766,0.723897,0.741561,0.766329,0.774297,0.781324
audiology_variant1,226,154,0.2522,0.2,0.953805,0.951313,0.951313,0.950794,0.953805,0.952559,0.950171
autos_variant1,205,54,0.122,0.5,0.519778,0.476444,0.445778,0.417778,0.414222,0.474667,0.519778
bands_band_16_variant1,328,62,0.0488,0.2,0.841747,0.721955,0.772837,0.828726,0.841747,0.832732,0.823117
bands_band_27_variant1,339,62,0.0796,0.2,0.817189,0.712963,0.758428,0.808761,0.817189,0.802469,0.790836
bands_band_34_variant1,346,62,0.0983,0.1,0.814103,0.750283,0.782617,0.814103,0.81052,0.798925,0.78997
bands_band_42_variant1,354,62,0.1186,0.1,0.802274,0.742521,0.774802,0.802274,0.794795,0.785562,0.781746
bands_band_6_variant1,318,62,0.0189,0.2,0.943376,0.854167,0.909188,0.942308,0.943376,0.931624,0.919338
breast_cancer_variant1,286,41,0.2972,0.5,0.689582,0.641645,0.642054,0.641996,0.65417,0.665701,0.689582
cardio,1831,21,0.0961,0.1,0.952523,0.938317,0.948654,0.952523,0.951445,0.950086,0.949643
cardiotocography_2and3_33_variant1,1688,22,0.0195,0.05,0.889994,0.87703,0.889994,0.886295,0.885929,0.888712,0.88483
chess_nowin_145_variant1,1814,72,0.0799,0.2,0.936915,0.889461,0.918522,0.931803,0.936915,0.936319,0.933733
chess_nowin_16_variant1,1685,70,0.0095,0.05,0.979853,0.971165,0.979853,0.979778,0.976558,0.975959,0.975434
chess_nowin_185_variant1,1854,72,0.0998,0.3,0.914958,0.858216,0.890405,0.907088,0.914906,0.914958,0.912545
chess_nowin_227_variant1,1896,71,0.1197,0.3,0.897865,0.839058,0.874263,0.890982,0.897599,0.897865,0.895081
chess_nowin_34_variant1,1703,72,0.02,0.1,0.976633,0.961372,0.973972,0.976633,0.973461,0.972227,0.970112
chess_nowin_87_variant1,1756,73,0.0495,0.1,0.965111,0.941689,0.960001,0.965111,0.963231,0.960869,0.957756
creditA_plus_42_variant1,425,46,0.0988,0.2,0.95667,0.928882,0.934664,0.952878,0.95667,0.949459,0.950205
diabetes_tested_positive_26_variant1,526,8,0.0494,0.5,0.953308,0.814385,0.934462,0.946385,0.942923,0.944154,0.953308
ecoli,336,9,0.0268,0.05,0.876996,0.848454,0.876996,0.865104,0.864084,0.869861,0.873598
german_1_14_variant1,714,62,0.0196,0.05,0.982857,0.969592,0.982857,0.981531,0.97602,0.972857,0.97
glass,214,9,0.0421,0.5,0.426016,0.369648,0.344715,0.342547,0.347967,0.345257,0.426016
heart270_2_16_variant1,166,25,0.0964,0.01,1.0,1.0,0.999583,0.986667,0.988333,0.984583,0.980417
hepatitis_2_9_variant1,94,32,0.0957,0.01,1.0,1.0,1.0,0.998693,0.997386,0.993464,0.992157
horse_1_12_variant1,256,76,0.0469,0.5,0.951503,0.926913,0.913251,0.910178,0.930328,0.947746,0.951503
ionosphere_b_24_variant1,249,35,0.0964,0.01,1.0,1.0,1.0,0.99963,0.99963,0.999444,0.999444
iris_Irisvirginica_11_variant1,111,4,0.0991,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
letter,1600,32,0.0625,0.5,0.48902,0.464633,0.46414,0.468333,0.47602,0.4803,0.48902
lymphography,148,59,0.0405,0.01,1.0,1.0,1.0,1.0,1.0,0.997653,0.995305
mnist,7603,104,0.0921,0.01,0.891948,0.891948,0.882856,0.882918,0.882061,0.88143,0.876658
monks_0_12_variant1,240,17,0.05,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
monks_0_25_variant1,253,17,0.0988,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
monks_0_4_variant1,232,17,0.0172,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushroom_p_221_variant1,4429,111,0.0499,0.5,0.968372,0.916263,0.920934,0.927399,0.932956,0.943091,0.968372
mushroom_p_365_variant1,4573,115,0.0798,0.05,0.944128,0.944072,0.944128,0.941499,0.937098,0.939598,0.943974
mushroom_p_467_variant1,4675,114,0.0999,0.01,0.949146,0.949146,0.948988,0.94627,0.938194,0.936085,0.936934
mushroom_p_573_variant1,4781,115,0.1198,0.05,0.951485,0.951178,0.951485,0.94842,0.942852,0.94293,0.944637
mushroom_p_85_variant1,4293,107,0.0198,0.5,0.940092,0.938657,0.934838,0.928028,0.921547,0.928235,0.940092
musk,3062,166,0.0317,0.01,0.989207,0.989207,0.984792,0.98024,0.962476,0.94594,0.922912
nhanes_age_364,2278,12,0.1598,0.1,0.948599,0.878334,0.925666,0.948599,0.947508,0.9444,0.820997
optdigits,5216,67,0.0288,0.5,0.601357,0.40028,0.539913,0.567648,0.589276,0.594993,0.601357
pageblocks_1_258_variant1,5171,10,0.0499,0.5,0.95591,0.859484,0.895129,0.927934,0.946852,0.953268,0.95591
pendigits,6870,16,0.0227,0.5,0.946934,0.914573,0.921965,0.929759,0.936036,0.942026,0.946934
pima_TRUE_55_variant1,555,9,0.0991,0.5,0.940655,0.8276,0.934545,0.938182,0.934509,0.936145,0.940655
psdas_dropout_1421,4424,161,0.3212,0.5,0.73672,0.721096,0.715228,0.721028,0.721686,0.727913,0.73672
satellite,6435,36,0.3164,0.01,0.657195,0.657195,0.6478,0.646853,0.64637,0.648318,0.651526
satimage2,5803,36,0.0122,0.01,0.977944,0.977944,0.975477,0.975229,0.975738,0.975868,0.976165
sick_sick_35_variant1,3576,53,0.0098,0.01,0.928099,0.928099,0.917586,0.911978,0.914132,0.893985,0.891362
sick_sick_72_variant1,3613,53,0.0199,0.01,0.846622,0.846622,0.841052,0.835283,0.840519,0.815859,0.810078
sonar_M_10_variant1,107,60,0.0935,0.05,0.993814,0.970103,0.993814,0.990722,0.987629,0.986598,0.984536
