dataset,latent_dim,lambda_scatter,nu,auc,elapsed_s
cardio,16,0.0,0.01,0.759565,9.6
cardio,16,0.0,0.05,0.910722,9.6
cardio,16,0.0,0.1,0.908099,9.6
cardio,16,0.0,0.2,0.83372,9.6
cardio,16,0.1,0.01,0.737449,9.77
cardio,16,0.1,0.05,0.921224,9.77
cardio,16,0.1,0.1,0.866345,9.77
cardio,16,0.1,0.2,0.879995,9.77
cardio,16,1.0,0.01,0.937037,9.32
cardio,16,1.0,0.05,0.936419,9.32
cardio,16,1.0,0.1,0.932663,9.32
cardio,16,1.0,0.2,0.940418,9.32
cardio,16,10.0,0.01,0.962435,9.64
cardio,16,10.0,0.05,0.952602,9.64
cardio,16,10.0,0.1,0.94655,9.64
cardio,16,10.0,0.2,0.950323,9.64
cardio,16,100.0,0.01,0.731715,8.17
cardio,16,100.0,0.05,0.826813,8.17
cardio,16,100.0,0.1,0.84393,8.17
cardio,16,100.0,0.2,0.85127,8.17
cardio,16,1000.0,0.01,0.740549,8.95
cardio,16,1000.0,0.05,0.812946,8.95
cardio,16,1000.0,0.1,0.832484,8.95
cardio,16,1000.0,0.2,0.837016,8.95
cardio,32,0.0,0.01,0.773726,8.18
cardio,32,0.0,0.05,0.822854,8.18
cardio,32,0.0,0.1,0.884657,8.18
cardio,32,0.0,0.2,0.844006,8.18
cardio,32,0.1,0.01,0.889639,9.4
cardio,32,0.1,0.05,0.913204,9.4
cardio,32,0.1,0.1,0.883288,9.4
cardio,32,0.1,0.2,0.903052,9.4
cardio,32,1.0,0.01,0.954885,9.52
cardio,32,1.0,0.05,0.944171,9.52
cardio,32,1.0,0.1,0.934527,9.52
cardio,32,1.0,0.2,0.940236,9.52
cardio,32,10.0,0.01,0.978776,9.72
cardio,32,10.0,0.05,0.971811,9.72
cardio,32,10.0,0.1,0.970135,9.72
cardio,32,10.0,0.2,0.969174,9.72
cardio,32,100.0,0.01,0.763018,9.7
cardio,32,100.0,0.05,0.865477,9.7
cardio,32,100.0,0.1,0.876905,9.7
cardio,32,100.0,0.2,0.880339,9.7
cardio,32,1000.0,0.01,0.744744,8.99
cardio,32,1000.0,0.05,0.812885,8.99
cardio,32,1000.0,0.1,0.837198,8.99
cardio,32,1000.0,0.2,0.839646,8.99
cardio,64,0.0,0.01,0.730187,8.07
cardio,64,0.0,0.05,0.833013,8.07
cardio,64,0.0,0.1,0.844517,8.07
cardio,64,0.0,0.2,0.817681,8.07
