dataset,best_dim,best_lambda,best_nu,best_auc,baseline_auc,baseline_nu,gain_vs_base
cardio,32,10.0,0.01,0.978776,0.915384,0.01,0.063392
cardiotocography_2and3_33_variant1,256,0.0,0.01,0.91116,0.91116,0.01,0.0
diabetes_tested_positive_26_variant1,128,10.0,0.01,0.753077,0.593385,0.01,0.159692
ionosphere_b_24_variant1,16,10.0,0.01,1.0,0.744815,0.01,0.255185
pageblocks_1_258_variant1,16,1000.0,0.2,0.985398,0.838382,0.01,0.147016
pima_TRUE_55_variant1,16,10.0,0.01,0.748836,0.666,0.01,0.082836
sonar_M_10_variant1,16,10.0,0.01,1.0,0.803093,0.05,0.196907
spambase_spam_56_variant1,64,0.1,0.2,0.698811,0.567842,0.2,0.130969
thyroid_disease_variant1,16,0.1,0.01,0.697954,0.69047,0.01,0.007484
waveform_0_100_variant1,256,1.0,0.01,0.758471,0.57676,0.01,0.181711
wbc_malignant_39_variant1,32,1000.0,0.2,0.568607,0.524602,0.2,0.044005
wdbc_M_39_variant1,16,1000.0,0.01,0.938878,0.713639,0.2,0.225239
wpbc_variant1,32,0.0,0.01,0.587009,0.587009,0.01,0.0
yeast_ERL_5_variant1,64,0.1,0.01,0.998768,0.992606,0.2,0.006162
