dataset,latent_dim,lambda_scatter,auc,elapsed_s
abalone_variant1,16,0.0,0.535778,23.5
abalone_variant1,16,0.1,0.661712,21.2
abalone_variant1,16,1.0,0.720188,20.5
abalone_variant1,16,10.0,0.689629,20.3
abalone_variant1,16,100.0,0.669601,18.8
abalone_variant1,16,1000.0,0.718476,19.0
abalone_variant1,32,0.0,0.526558,19.6
abalone_variant1,32,0.1,0.650401,21.0
abalone_variant1,32,1.0,0.735573,19.5
abalone_variant1,32,10.0,0.652572,19.6
abalone_variant1,32,100.0,0.715873,19.0
abalone_variant1,32,1000.0,0.700178,19.2
abalone_variant1,64,0.0,0.528186,19.0
abalone_variant1,64,0.1,0.654018,19.9
abalone_variant1,64,1.0,0.73363,18.3
abalone_variant1,64,10.0,0.672375,18.7
abalone_variant1,64,100.0,0.664233,19.3
abalone_variant1,64,1000.0,0.67319,18.8
abalone_variant1,128,0.0,0.552378,19.8
abalone_variant1,128,0.1,0.631534,21.5
abalone_variant1,128,1.0,0.736676,20.5
abalone_variant1,128,10.0,0.672959,20.8
abalone_variant1,128,100.0,0.651917,20.6
abalone_variant1,128,1000.0,0.648257,19.3
abalone_variant1,256,0.0,0.528964,23.6
abalone_variant1,256,0.1,0.645721,24.5
abalone_variant1,256,1.0,0.733587,22.7
abalone_variant1,256,10.0,0.671186,22.7
abalone_variant1,256,100.0,0.672415,22.5
abalone_variant1,256,1000.0,0.673058,22.7
annealing_variant1,16,0.0,0.728584,4.1
annealing_variant1,16,0.1,0.694822,4.0
annealing_variant1,16,1.0,0.689185,4.1
annealing_variant1,16,10.0,0.747103,3.9
annealing_variant1,16,100.0,0.786281,4.2
annealing_variant1,16,1000.0,0.74474,4.3
annealing_variant1,32,0.0,0.572751,4.3
annealing_variant1,32,0.1,0.779667,4.3
annealing_variant1,32,1.0,0.748551,4.3
annealing_variant1,32,10.0,0.753149,4.0
annealing_variant1,32,100.0,0.771416,4.1
annealing_variant1,32,1000.0,0.793777,4.1
annealing_variant1,64,0.0,0.67454,4.2
annealing_variant1,64,0.1,0.746567,4.1
annealing_variant1,64,1.0,0.810406,4.1
annealing_variant1,64,10.0,0.769936,4.1
annealing_variant1,64,100.0,0.805556,4.0
annealing_variant1,64,1000.0,0.81028,4.1
annealing_variant1,128,0.0,0.584719,4.4
annealing_variant1,128,0.1,0.808894,4.4
annealing_variant1,128,1.0,0.82757,3.9
annealing_variant1,128,10.0,0.814405,4.0
annealing_variant1,128,100.0,0.827286,4.2
annealing_variant1,128,1000.0,0.808264,4.2
annealing_variant1,256,0.0,0.699483,4.5
annealing_variant1,256,0.1,0.758062,4.1
annealing_variant1,256,1.0,0.819696,4.0
annealing_variant1,256,10.0,0.779195,4.4
annealing_variant1,256,100.0,0.785714,4.2
annealing_variant1,256,1000.0,0.780675,4.2
annthyroid,16,0.0,0.735126,32.0
annthyroid,16,0.1,0.694609,34.6
annthyroid,16,1.0,0.62518,31.5
annthyroid,16,10.0,0.602402,32.6
annthyroid,16,100.0,0.640645,32.7
annthyroid,16,1000.0,0.615748,31.6
annthyroid,32,0.0,0.733351,31.3
annthyroid,32,0.1,0.677826,32.5
annthyroid,32,1.0,0.623108,32.2
annthyroid,32,10.0,0.612331,32.7
annthyroid,32,100.0,0.633671,33.5
annthyroid,32,1000.0,0.585145,32.6
annthyroid,64,0.0,0.723572,33.9
annthyroid,64,0.1,0.672086,35.5
annthyroid,64,1.0,0.626554,34.3
annthyroid,64,10.0,0.612549,34.0
annthyroid,64,100.0,0.64293,32.8
annthyroid,64,1000.0,0.622432,33.5
annthyroid,128,0.0,0.733445,35.3
annthyroid,128,0.1,0.68084,37.5
annthyroid,128,1.0,0.62701,37.2
annthyroid,128,10.0,0.612289,37.9
annthyroid,128,100.0,0.648016,37.8
annthyroid,128,1000.0,0.613662,38.0
annthyroid,256,0.0,0.731307,44.2
annthyroid,256,0.1,0.68304,43.6
annthyroid,256,1.0,0.627507,43.9
annthyroid,256,10.0,0.614035,44.1
annthyroid,256,100.0,0.645331,44.2
annthyroid,256,1000.0,0.5728,41.8
arrhythmia_variant1,16,0.0,0.686018,1.9
arrhythmia_variant1,16,0.1,0.686057,2.2
arrhythmia_variant1,16,1.0,0.671809,2.1
arrhythmia_variant1,16,10.0,0.713652,2.1
arrhythmia_variant1,16,100.0,0.727116,2.2
arrhythmia_variant1,16,1000.0,0.753022,2.1
arrhythmia_variant1,32,0.0,0.683153,2.2
arrhythmia_variant1,32,0.1,0.679738,2.3
arrhythmia_variant1,32,1.0,0.666745,2.1
arrhythmia_variant1,32,10.0,0.69799,2.2
arrhythmia_variant1,32,100.0,0.739559,2.4
arrhythmia_variant1,32,1000.0,0.765701,1.9
arrhythmia_variant1,64,0.0,0.652339,2.0
arrhythmia_variant1,64,0.1,0.651594,2.2
arrhythmia_variant1,64,1.0,0.654184,2.3
arrhythmia_variant1,64,10.0,0.73371,2.2
arrhythmia_variant1,64,100.0,0.735163,2.2
arrhythmia_variant1,64,1000.0,0.750981,2.1
arrhythmia_variant1,128,0.0,0.654538,2.2
arrhythmia_variant1,128,0.1,0.650652,2.3
arrhythmia_variant1,128,1.0,0.653753,2.2
arrhythmia_variant1,128,10.0,0.729078,2.5
arrhythmia_variant1,128,100.0,0.749607,2.5
arrhythmia_variant1,128,1000.0,0.759813,2.3
arrhythmia_variant1,256,0.0,0.663566,2.1
arrhythmia_variant1,256,0.1,0.655362,2.2
arrhythmia_variant1,256,1.0,0.653242,2.2
arrhythmia_variant1,256,10.0,0.70223,2.3
arrhythmia_variant1,256,100.0,0.761462,2.3
arrhythmia_variant1,256,1000.0,0.761187,2.2
audiology_variant1,16,0.0,0.678501,2.2
audiology_variant1,16,0.1,0.686183,2.4
audiology_variant1,16,1.0,0.745562,2.6
audiology_variant1,16,10.0,0.742136,2.2
audiology_variant1,16,100.0,0.764871,2.2
audiology_variant1,16,1000.0,0.810755,2.5
audiology_variant1,32,0.0,0.639468,2.4
audiology_variant1,32,0.1,0.663449,2.4
audiology_variant1,32,1.0,0.739126,2.3
audiology_variant1,32,10.0,0.744005,2.4
audiology_variant1,32,100.0,0.733416,2.1
audiology_variant1,32,1000.0,0.753555,2.2
audiology_variant1,64,0.0,0.725838,2.5
audiology_variant1,64,0.1,0.653794,2.4
audiology_variant1,64,1.0,0.68909,2.3
audiology_variant1,64,10.0,0.870549,2.3
audiology_variant1,64,100.0,0.74442,2.2
audiology_variant1,64,1000.0,0.745874,2.4
audiology_variant1,128,0.0,0.691581,2.0
audiology_variant1,128,0.1,0.602927,2.1
audiology_variant1,128,1.0,0.699055,2.1
audiology_variant1,128,10.0,0.852382,2.1
audiology_variant1,128,100.0,0.674971,2.2
audiology_variant1,128,1000.0,0.752829,2.2
audiology_variant1,256,0.0,0.674349,2.2
audiology_variant1,256,0.1,0.576248,2.2
audiology_variant1,256,1.0,0.706114,2.3
audiology_variant1,256,10.0,0.83868,2.5
audiology_variant1,256,100.0,0.742344,2.2
audiology_variant1,256,1000.0,0.74795,2.2
autos_variant1,16,0.0,0.499333,2.1
autos_variant1,16,0.1,0.515556,2.1
autos_variant1,16,1.0,0.625778,2.3
autos_variant1,16,10.0,0.722889,2.2
autos_variant1,16,100.0,0.684,2.5
autos_variant1,16,1000.0,0.68,2.2
autos_variant1,32,0.0,0.492667,2.2
autos_variant1,32,0.1,0.458222,2.3
autos_variant1,32,1.0,0.412,2.3
autos_variant1,32,10.0,0.729333,2.2
autos_variant1,32,100.0,0.673556,2.1
autos_variant1,32,1000.0,0.669556,2.1
autos_variant1,64,0.0,0.512889,2.1
autos_variant1,64,0.1,0.406667,2.2
autos_variant1,64,1.0,0.650222,2.1
autos_variant1,64,10.0,0.652444,2.3
autos_variant1,64,100.0,0.659111,2.2
autos_variant1,64,1000.0,0.598889,2.1
autos_variant1,128,0.0,0.488,2.1
autos_variant1,128,0.1,0.428667,2.1
autos_variant1,128,1.0,0.392222,2.2
autos_variant1,128,10.0,0.542222,2.1
autos_variant1,128,100.0,0.632444,2.1
autos_variant1,128,1000.0,0.638889,2.1
autos_variant1,256,0.0,0.681556,2.1
autos_variant1,256,0.1,0.446444,2.3
autos_variant1,256,1.0,0.406222,2.2
autos_variant1,256,10.0,0.650889,2.0
autos_variant1,256,100.0,0.634667,2.1
autos_variant1,256,1000.0,0.632222,2.1
bands_band_16_variant1,16,0.0,0.484575,2.1
bands_band_16_variant1,16,0.1,0.540465,2.2
bands_band_16_variant1,16,1.0,0.562901,2.2
bands_band_16_variant1,16,10.0,0.713742,2.1
bands_band_16_variant1,16,100.0,0.717147,2.3
bands_band_16_variant1,16,1000.0,0.728165,2.1
bands_band_16_variant1,32,0.0,0.458133,2.1
bands_band_16_variant1,32,0.1,0.504607,2.0
bands_band_16_variant1,32,1.0,0.558093,2.1
bands_band_16_variant1,32,10.0,0.750801,2.0
bands_band_16_variant1,32,100.0,0.726963,2.2
bands_band_16_variant1,32,1000.0,0.72476,2.0
bands_band_16_variant1,64,0.0,0.512821,2.0
bands_band_16_variant1,64,0.1,0.625801,2.3
bands_band_16_variant1,64,1.0,0.54387,2.0
bands_band_16_variant1,64,10.0,0.777043,2.2
bands_band_16_variant1,64,100.0,0.641627,2.1
bands_band_16_variant1,64,1000.0,0.640224,2.1
bands_band_16_variant1,128,0.0,0.485577,2.0
bands_band_16_variant1,128,0.1,0.528446,2.2
bands_band_16_variant1,128,1.0,0.63722,2.0
bands_band_16_variant1,128,10.0,0.551282,2.2
bands_band_16_variant1,128,100.0,0.630409,2.1
bands_band_16_variant1,128,1000.0,0.63121,2.1
bands_band_16_variant1,256,0.0,0.482973,2.1
bands_band_16_variant1,256,0.1,0.565905,2.2
bands_band_16_variant1,256,1.0,0.580529,2.1
bands_band_16_variant1,256,10.0,0.75,2.0
bands_band_16_variant1,256,100.0,0.580729,2.1
bands_band_16_variant1,256,1000.0,0.577524,2.1
bands_band_27_variant1,16,0.0,0.611349,2.0
bands_band_27_variant1,16,0.1,0.660731,2.0
bands_band_27_variant1,16,1.0,0.655864,2.1
bands_band_27_variant1,16,10.0,0.636159,2.2
bands_band_27_variant1,16,100.0,0.658951,2.0
bands_band_27_variant1,16,1000.0,0.66358,2.1
bands_band_27_variant1,32,0.0,0.611942,2.0
bands_band_27_variant1,32,0.1,0.677707,2.1
bands_band_27_variant1,32,1.0,0.634022,2.0
bands_band_27_variant1,32,10.0,0.659425,2.2
bands_band_27_variant1,32,100.0,0.645418,2.2
bands_band_27_variant1,32,1000.0,0.647198,2.1
bands_band_27_variant1,64,0.0,0.589031,2.1
bands_band_27_variant1,64,0.1,0.671178,2.2
bands_band_27_variant1,64,1.0,0.65076,2.2
