dataset,N,D,raw_rbf,scmk_fused,scmk_embmk,fused_t1.0,embmk_t1.0,fused_t0.7,embmk_t0.7,fused_t0.5,embmk_t0.5,fused_t0.3,embmk_t0.3,fused_t0.2,embmk_t0.2,fused_t0.1,embmk_t0.1,fused_t0.05,embmk_t0.05
vertebral,240,6,0.6359,0.7946,0.7581,0.793,0.7571,0.794,0.7622,0.8105,0.7638,0.7956,0.7483,0.6952,0.7683,0.5959,0.7635,0.567,0.759
thyroid,3772,6,0.9594,0.938,0.9604,0.9346,0.9711,0.9837,0.9837,0.9783,0.9868,0.9823,0.9864,0.9717,0.9851,0.9655,0.9843,0.9193,0.9846
wbc,483,9,0.9969,0.9842,0.369,0.9842,0.5024,0.9842,0.4718,0.9842,0.4246,0.9842,0.3498,0.9842,0.2946,0.9842,0.284,0.9845,0.3234
glass,214,9,0.5167,0.6138,0.7238,0.6192,0.7238,0.6117,0.7174,0.6084,0.712,0.5922,0.6796,0.5631,0.617,0.7152,0.5577,0.5167,0.6073
ecoli,336,9,0.8739,0.8855,0.8848,0.9134,0.8773,0.9134,0.8828,0.9182,0.8848,0.8773,0.8855,0.8316,0.895,0.8555,0.8862,0.8562,0.8787
wine,129,13,0.8373,0.8797,0.739,0.878,0.7373,0.8797,0.7373,0.8729,0.7339,0.8712,0.7102,0.8492,0.6407,0.8814,0.422,0.861,0.4898
cardio,1831,21,0.9557,0.7935,0.8763,0.7956,0.9042,0.8002,0.9308,0.8095,0.967,0.9454,0.9694,0.8536,0.9599,0.8595,0.9637,0.7983,0.9695
cardiotoco,1688,22,0.8958,0.8508,0.6944,0.8495,0.7589,0.8319,0.8214,0.8401,0.9112,0.9035,0.9211,0.8979,0.9191,0.9048,0.9192,0.893,0.9137
tictactoe12,638,27,0.9979,0.9326,1.0,0.9273,0.9973,0.9233,0.9936,0.9108,0.987,0.905,0.9603,0.9002,0.9441,0.8967,0.9068,0.8831,0.8009
tictactoe69,695,27,0.9915,0.7351,0.9949,0.7188,0.9814,0.709,0.9713,0.6976,0.9546,0.6825,0.9201,0.686,0.8994,0.712,0.886,0.7486,0.8107
wpbc,198,33,0.5251,0.4948,0.5421,0.4945,0.5427,0.4942,0.5427,0.4777,0.5441,0.5387,0.5538,0.5214,0.5521,0.5109,0.5328,0.5121,0.5177
ionosphere,249,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9915,0.9985,0.9923,1.0
zoo,101,36,0.7493,0.965,0.9608,0.965,0.9608,0.965,0.9608,0.9636,0.9608,0.9706,0.9566,0.9664,0.9552,0.9594,0.9286,0.9706,0.944
sick,3613,53,0.8428,0.7363,0.8404,0.8398,0.8514,0.857,0.8734,0.8558,0.8654,0.8513,0.8589,0.8391,0.8519,0.8335,0.8443,0.7905,0.84
autos,205,54,0.4502,0.7529,0.7751,0.7511,0.7756,0.748,0.776,0.7462,0.7769,0.7458,0.7716,0.7773,0.752,0.7129,0.4369,0.7129,0.5258
annealing,798,56,0.814,0.7652,0.9279,0.8268,0.9047,0.8367,0.8931,0.8582,0.8727,0.8072,0.8592,0.7775,0.8119,0.6513,0.6687,0.7329,0.7326
lymphography,148,59,1.0,1.0,0.993,1.0,0.993,1.0,0.993,1.0,0.993,1.0,0.9953,1.0,0.9953,1.0,0.9953,1.0,0.9977
bands6,318,62,0.9551,0.6955,0.9562,0.7083,0.953,0.7222,0.953,0.7628,0.9509,0.8141,0.9551,0.8462,0.9626,0.8173,0.8494,0.8579,0.8771
audiology,226,154,0.9523,0.9666,0.973,0.9748,0.9703,0.9759,0.9678,0.9777,0.9695,0.8493,0.9259,0.7961,0.8097,0.7804,0.6927,0.7393,0.6929
