dataset,raw_rbf,embmk_t1.0,fused_t1.0,embmk_t0.7,fused_t0.7,embmk_t0.5,fused_t0.5,embmk_t0.3,fused_t0.3,embmk_t0.2,fused_t0.2,embmk_t0.1,fused_t0.1,embmk_t0.05,fused_t0.05
vertebral,0.6359,0.7581,0.7946,0.7562,0.8098,0.7521,0.7924,0.7606,0.7365,0.7771,0.6927,0.7876,0.6997,0.7797,0.594
thyroid,0.9594,0.9604,0.938,0.9731,0.9607,0.9857,0.9814,0.9836,0.9721,0.9819,0.9475,0.9812,0.964,0.9826,0.9676
wbc,0.9969,0.369,0.9842,0.3369,0.9842,0.3229,0.9842,0.3061,0.9842,0.3067,0.9842,0.3199,0.9843,0.3052,0.9839
glass,0.5167,0.7238,0.6138,0.7141,0.6019,0.7044,0.6019,0.6483,0.5858,0.5912,0.6041,0.5814,0.6904,0.6235,0.6343
ecoli,0.8739,0.8848,0.8855,0.8889,0.8882,0.8896,0.8834,0.8937,0.8609,0.9039,0.8562,0.8903,0.8337,0.8814,0.8834
wine,0.8373,0.739,0.8797,0.7339,0.878,0.7322,0.8763,0.7102,0.8559,0.6915,0.8508,0.5932,0.9153,0.5458,0.8864
cardio,0.9557,0.8763,0.7935,0.8991,0.7979,0.911,0.8078,0.9224,0.8403,0.9544,0.8222,0.9762,0.9568,0.9718,0.8382
cardiotoco,0.8958,0.6944,0.8508,0.7155,0.842,0.7348,0.8285,0.8305,0.8019,0.9177,0.8691,0.9099,0.882,0.898,0.8866
tictactoe12,0.9979,1.0,0.9326,1.0,0.9318,1.0,0.9334,1.0,0.9297,0.9992,0.9247,0.9968,0.9081,0.9875,0.8986
tictactoe69,0.9915,0.9949,0.7351,0.9946,0.7327,0.9943,0.7314,0.9932,0.7256,0.991,0.7162,0.9841,0.6865,0.9662,0.7178
wpbc,0.5251,0.5421,0.4948,0.5421,0.4939,0.5433,0.4772,0.5401,0.4999,0.5447,0.5092,0.5526,0.4913,0.5555,0.5234
ionosphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zoo,0.7493,0.9608,0.965,0.9608,0.965,0.9608,0.965,0.9608,0.965,0.9608,0.965,0.958,0.9706,0.9538,0.972
sick,0.8428,0.8404,0.7363,0.8483,0.6873,0.8142,0.6619,0.7999,0.7084,0.7975,0.706,0.7977,0.6937,0.8559,0.8489
autos,0.4502,0.7751,0.7529,0.7756,0.7511,0.7756,0.7498,0.7773,0.7338,0.7778,0.7382,0.7658,0.7564,0.6929,0.7342
annealing,0.814,0.9279,0.7652,0.9277,0.7603,0.9281,0.7925,0.925,0.8093,0.915,0.8551,0.8921,0.8846,0.8201,0.7725
lymphography,1.0,0.993,1.0,0.993,1.0,0.993,1.0,0.993,1.0,0.993,1.0,0.9953,1.0,0.9977,1.0
bands6,0.9551,0.9562,0.6955,0.9562,0.6966,0.9541,0.7009,0.9541,0.7137,0.9541,0.7404,0.9541,0.8066,0.9679,0.9487
audiology,0.9523,0.973,0.9666,0.9723,0.9668,0.9701,0.9705,0.9674,0.9734,0.9709,0.9771,0.9672,0.9756,0.9651,0.9635
