dataset,method,n_train,n_test,D,train_s,infer_s
vertebral,DFNO,105,135,6,0.0,0.0035
zoo_variant1,DFNO,42,59,16,0.0,0.0004
wpbc_variant1,DFNO,76,122,33,0.0,0.0022
autos_variant1,DFNO,90,115,25,0.0,0.0022
glass,DFNO,102,112,9,0.0,0.0024
audiology_variant1,DFNO,84,142,69,0.0,0.0028
bands_band_6_variant1,DFNO,156,162,39,0.0,0.007
annealing_variant1,DFNO,378,420,38,0.0,0.0484
cardiotocography_2and3_33_variant1,DFNO,828,860,21,0.0,0.2362
thyroid,DFNO,1840,1932,6,0.0,1.2607
cardio,DFNO,828,1003,21,0.0,0.2783
sick_sick_72_variant1,DFNO,1770,1843,29,0.0,1.1863
lymphography,DFNO,71,77,18,0.0,0.0013
tic_tac_toe_negative_69_variant1,DFNO,313,382,9,0.0,0.0312
wine,DFNO,60,69,13,0.0,0.0012
tic_tac_toe_negative_12_variant1,DFNO,313,325,9,0.0,0.0261
ecoli,DFNO,164,172,7,0.0,0.0072
pageblocks_1_258_variant1,DFNO,2456,2715,10,0.0,2.4738
ionosphere_b_24_variant1,DFNO,112,137,34,0.0,0.0038
wbc_malignant_39_variant1,DFNO,222,261,9,0.0,0.0139
