dataset,method,n_train,n_test,D,train_s,infer_s
vertebral,Disent-AD,105,135,6,1.3592,0.0112
zoo_variant1,Disent-AD,42,59,16,0.9628,0.005
wpbc_variant1,Disent-AD,76,122,33,1.0472,0.0084
autos_variant1,Disent-AD,90,115,25,1.0118,0.008
glass,Disent-AD,102,112,9,1.0773,0.008
audiology_variant1,Disent-AD,84,142,69,1.067,0.0112
bands_band_6_variant1,Disent-AD,156,162,39,1.2694,0.0116
annealing_variant1,Disent-AD,378,420,38,1.8277,0.0248
cardiotocography_2and3_33_variant1,Disent-AD,828,860,21,4.0344,0.0523
thyroid,Disent-AD,1840,1932,6,8.0118,0.1126
cardio,Disent-AD,828,1003,21,3.6581,0.0585
sick_sick_72_variant1,Disent-AD,1770,1843,29,8.2145,0.1119
lymphography,Disent-AD,71,77,18,0.9575,0.0066
tic_tac_toe_negative_69_variant1,Disent-AD,313,382,9,1.6136,0.0236
wine,Disent-AD,60,69,13,0.9586,0.0065
tic_tac_toe_negative_12_variant1,Disent-AD,313,325,9,1.6026,0.0201
ecoli,Disent-AD,164,172,7,1.1483,0.0106
pageblocks_1_258_variant1,Disent-AD,2456,2715,10,10.7652,0.1584
ionosphere_b_24_variant1,Disent-AD,112,137,34,1.1912,0.0106
wbc_malignant_39_variant1,Disent-AD,222,261,9,1.506,0.0171
