dataset,method,n_train,n_test,D,train_s,infer_s
vertebral,KFGOD,105,135,6,0.0,0.0441
zoo_variant1,KFGOD,42,59,16,0.0,0.0264
wpbc_variant1,KFGOD,76,122,33,0.0,0.0913
autos_variant1,KFGOD,90,115,25,0.0,0.0579
glass,KFGOD,102,112,9,0.0,0.0405
audiology_variant1,KFGOD,84,142,69,0.0,0.0872
bands_band_6_variant1,KFGOD,156,162,39,0.0,0.0893
annealing_variant1,KFGOD,378,420,38,0.0,0.1584
cardiotocography_2and3_33_variant1,KFGOD,828,860,21,0.0,0.8353
thyroid,KFGOD,1840,1932,6,0.0,4.4099
cardio,KFGOD,828,1003,21,0.0,1.5312
sick_sick_72_variant1,KFGOD,1770,1843,29,0.0,3.5297
lymphography,KFGOD,71,77,18,0.0,0.0298
tic_tac_toe_negative_69_variant1,KFGOD,313,382,9,0.0,0.0622
wine,KFGOD,60,69,13,0.0,0.0253
tic_tac_toe_negative_12_variant1,KFGOD,313,325,9,0.0,0.0606
ecoli,KFGOD,164,172,7,0.0,0.0457
pageblocks_1_258_variant1,KFGOD,2456,2715,10,0.0,27.9717
ionosphere_b_24_variant1,KFGOD,112,137,34,0.0,0.1139
wbc_malignant_39_variant1,KFGOD,222,261,9,0.0,0.0419
