dataset,method,n_train,n_test,D,train_s,infer_s
vertebral,LMKAD,105,135,6,0.1379,0.0015
zoo_variant1,LMKAD,42,59,16,0.1416,0.0016
wpbc_variant1,LMKAD,76,122,33,0.0778,0.0015
autos_variant1,LMKAD,90,115,25,0.0981,0.0015
glass,LMKAD,102,112,9,0.1247,0.0016
audiology_variant1,LMKAD,84,142,69,0.7188,0.0015
bands_band_6_variant1,LMKAD,156,162,39,0.3393,0.0017
annealing_variant1,LMKAD,378,420,38,0.5335,0.0016
cardiotocography_2and3_33_variant1,LMKAD,828,860,21,0.9472,0.0019
thyroid,LMKAD,1840,1932,6,0.7423,0.0017
cardio,LMKAD,828,1003,21,0.8421,0.002
sick_sick_72_variant1,LMKAD,1770,1843,29,0.5754,0.0017
lymphography,LMKAD,71,77,18,0.117,0.0017
tic_tac_toe_negative_69_variant1,LMKAD,313,382,9,0.0506,0.0017
wine,LMKAD,60,69,13,0.334,0.0016
tic_tac_toe_negative_12_variant1,LMKAD,313,325,9,0.0448,0.0016
ecoli,LMKAD,164,172,7,0.1212,0.0014
pageblocks_1_258_variant1,LMKAD,2456,2715,10,0.9274,0.002
ionosphere_b_24_variant1,LMKAD,112,137,34,0.0593,0.0016
wbc_malignant_39_variant1,LMKAD,222,261,9,0.1428,0.0017
