,n_test,D,SCMK_train_s,SCMK_infer_s,SCMK-1K_train_s,SCMK-1K_infer_s,DeepSVDD_train_s,DeepSVDD_infer_s,Disent-AD_train_s,Disent-AD_infer_s,NeuTraLAD_train_s,NeuTraLAD_infer_s,ICL_train_s,ICL_infer_s,LMKAD_train_s,LMKAD_infer_s,DFNO_train_s,DFNO_infer_s,KFGOD_train_s,KFGOD_infer_s
vertebral,135,6,2.4881,0.001,0.1002,0.0006,0.2341,0.0015,1.3592,0.0112,1.197,0.0064,7.555,0.0589,0.1379,0.0015,0.0,0.0035,0.0,0.0441
thyroid,1932,6,7.4019,0.0256,0.5468,0.0189,3.6459,0.0119,8.0118,0.1126,16.8789,0.0708,86.7384,0.41,0.7423,0.0017,0.0,1.2607,0.0,4.4099
glass,112,9,1.4913,0.0008,0.1053,0.0005,0.2534,0.0012,1.0773,0.008,1.319,0.0046,6.6491,0.0303,0.1247,0.0016,0.0,0.0024,0.0,0.0405
ecoli,172,9,1.5088,0.0014,0.1325,0.0007,0.3691,0.0016,1.1483,0.0106,1.6169,0.0068,9.2311,0.0449,0.1212,0.0014,0.0,0.0072,0.0,0.0457
wbc_malignant_39_variant1,261,9,1.4849,0.0011,0.1283,0.0007,0.4706,0.002,1.506,0.0171,2.2642,0.0112,10.2003,0.0623,0.1428,0.0017,0.0,0.0139,0.0,0.0419
pageblocks_1_258_variant1,2715,10,10.1031,0.1269,0.7426,0.0503,5.2068,0.0184,10.7652,0.1584,22.4529,0.0963,88.9486,0.4385,0.9274,0.002,0.0,2.4738,0.0,27.9717
wine,69,13,1.4754,0.0012,0.1372,0.0005,0.1357,0.001,0.9586,0.0065,0.6323,0.0043,2.4008,0.0227,0.334,0.0016,0.0,0.0012,0.0,0.0253
cardio,1003,21,4.0144,0.0054,0.3007,0.0054,1.5279,0.0069,3.6581,0.0585,7.6557,0.037,18.9338,0.1107,0.8421,0.002,0.0,0.2783,0.0,1.5312
cardiotocography_2and3_33_variant1,860,22,4.6366,0.0096,0.3245,0.0034,1.6412,0.0053,4.0344,0.0523,6.9836,0.0334,20.1401,0.0962,0.9472,0.0019,0.0,0.2362,0.0,0.8353
tic_tac_toe_negative_69_variant1,382,27,1.7555,0.0042,0.1322,0.0014,0.6513,0.0025,1.6136,0.0236,3.0025,0.0142,7.6625,0.0422,0.0506,0.0017,0.0,0.0312,0.0,0.0622
tic_tac_toe_negative_12_variant1,325,27,1.8584,0.0038,0.1381,0.0014,0.674,0.0025,1.6026,0.0201,3.0465,0.0135,7.7346,0.0448,0.0448,0.0016,0.0,0.0261,0.0,0.0606
wpbc_variant1,122,33,1.565,0.0009,0.1496,0.0006,0.266,0.0011,1.0472,0.0084,1.232,0.0049,2.4554,0.0105,0.0778,0.0015,0.0,0.0022,0.0,0.0913
ionosphere_b_24_variant1,137,35,2.0953,0.0009,0.1607,0.0005,0.278,0.0012,1.1912,0.0106,1.1365,0.0068,2.2141,0.0153,0.0593,0.0016,0.0,0.0038,0.0,0.1139
zoo_variant1,59,36,1.4849,0.0009,0.1177,0.0004,0.1183,0.0007,0.9628,0.005,0.6222,0.0026,1.161,0.0059,0.1416,0.0016,0.0,0.0004,0.0,0.0264
sick_sick_72_variant1,1843,53,7.7264,0.035,0.5926,0.0227,3.3601,0.0131,8.2145,0.1119,16.8846,0.0672,22.0521,0.1041,0.5754,0.0017,0.0,1.1863,0.0,3.5297
autos_variant1,115,54,1.9406,0.0024,0.1316,0.0007,0.258,0.001,1.0118,0.008,1.2172,0.0046,1.5855,0.0076,0.0981,0.0015,0.0,0.0022,0.0,0.0579
annealing_variant1,420,56,1.9463,0.002,0.1501,0.0014,0.7674,0.0028,1.8277,0.0248,3.6472,0.0168,4.8277,0.0253,0.5335,0.0016,0.0,0.0484,0.0,0.1584
lymphography,77,59,2.1275,0.0011,0.1605,0.0004,0.2558,0.0009,0.9575,0.0066,1.1525,0.0041,1.401,0.0067,0.117,0.0017,0.0,0.0013,0.0,0.0298
bands_band_6_variant1,162,62,1.9554,0.0015,0.1444,0.0006,0.3668,0.0013,1.2694,0.0116,1.7707,0.0074,2.2736,0.0113,0.3393,0.0017,0.0,0.007,0.0,0.0893
audiology_variant1,142,154,2.2611,0.0009,0.1672,0.0006,0.2663,0.0013,1.067,0.0112,1.2253,0.0073,0.8539,0.0056,0.7188,0.0015,0.0,0.0028,0.0,0.0872
