dataset,method,n_train,n_test,D,train_s,infer_s
vertebral,SCMK,105,135,6,2.4881,0.001
vertebral,SCMK-1K,105,135,6,0.1002,0.0006
vertebral,DeepSVDD,105,135,6,0.2341,0.0015
vertebral,ICL,105,135,6,7.555,0.0589
vertebral,NeuTraLAD,105,135,6,1.197,0.0064
zoo_variant1,SCMK,42,59,36,1.4849,0.0009
zoo_variant1,SCMK-1K,42,59,36,0.1177,0.0004
zoo_variant1,DeepSVDD,42,59,36,0.1183,0.0007
zoo_variant1,ICL,42,59,36,1.161,0.0059
zoo_variant1,NeuTraLAD,42,59,36,0.6222,0.0026
wpbc_variant1,SCMK,76,122,33,1.565,0.0009
wpbc_variant1,SCMK-1K,76,122,33,0.1496,0.0006
wpbc_variant1,DeepSVDD,76,122,33,0.266,0.0011
wpbc_variant1,ICL,76,122,33,2.4554,0.0105
wpbc_variant1,NeuTraLAD,76,122,33,1.232,0.0049
autos_variant1,SCMK,90,115,54,1.9406,0.0024
autos_variant1,SCMK-1K,90,115,54,0.1316,0.0007
autos_variant1,DeepSVDD,90,115,54,0.258,0.001
autos_variant1,ICL,90,115,54,1.5855,0.0076
autos_variant1,NeuTraLAD,90,115,54,1.2172,0.0046
glass,SCMK,102,112,9,1.4913,0.0008
glass,SCMK-1K,102,112,9,0.1053,0.0005
glass,DeepSVDD,102,112,9,0.2534,0.0012
glass,ICL,102,112,9,6.6491,0.0303
glass,NeuTraLAD,102,112,9,1.319,0.0046
audiology_variant1,SCMK,84,142,154,2.2611,0.0009
audiology_variant1,SCMK-1K,84,142,154,0.1672,0.0006
audiology_variant1,DeepSVDD,84,142,154,0.2663,0.0013
audiology_variant1,ICL,84,142,154,0.8539,0.0056
audiology_variant1,NeuTraLAD,84,142,154,1.2253,0.0073
bands_band_6_variant1,SCMK,156,162,62,1.9554,0.0015
bands_band_6_variant1,SCMK-1K,156,162,62,0.1444,0.0006
bands_band_6_variant1,DeepSVDD,156,162,62,0.3668,0.0013
bands_band_6_variant1,ICL,156,162,62,2.2736,0.0113
bands_band_6_variant1,NeuTraLAD,156,162,62,1.7707,0.0074
annealing_variant1,SCMK,378,420,56,1.9463,0.002
annealing_variant1,SCMK-1K,378,420,56,0.1501,0.0014
annealing_variant1,DeepSVDD,378,420,56,0.7674,0.0028
annealing_variant1,ICL,378,420,56,4.8277,0.0253
annealing_variant1,NeuTraLAD,378,420,56,3.6472,0.0168
cardiotocography_2and3_33_variant1,SCMK,828,860,22,4.6366,0.0096
cardiotocography_2and3_33_variant1,SCMK-1K,828,860,22,0.3245,0.0034
cardiotocography_2and3_33_variant1,DeepSVDD,828,860,22,1.6412,0.0053
cardiotocography_2and3_33_variant1,ICL,828,860,22,20.1401,0.0962
cardiotocography_2and3_33_variant1,NeuTraLAD,828,860,22,6.9836,0.0334
thyroid,SCMK,1840,1932,6,7.4019,0.0256
thyroid,SCMK-1K,1840,1932,6,0.5468,0.0189
thyroid,DeepSVDD,1840,1932,6,3.6459,0.0119
thyroid,ICL,1840,1932,6,86.7384,0.41
thyroid,NeuTraLAD,1840,1932,6,16.8789,0.0708
cardio,SCMK,828,1003,21,4.0144,0.0054
cardio,SCMK-1K,828,1003,21,0.3007,0.0054
cardio,DeepSVDD,828,1003,21,1.5279,0.0069
