dataset,seed,nu_0.01,nu_0.02,nu_0.05,nu_0.1,nu_0.15,nu_0.2,nu_0.3,nu_0.5
vertebral,0,0.5463492063492064,0.5142857142857142,0.49619047619047624,0.4755555555555555,0.466984126984127,0.4565079365079365,0.4803174603174603,0.4984126984126984
vertebral,1,0.5707936507936509,0.6019047619047619,0.6638095238095238,0.6612698412698412,0.6025396825396825,0.5717460317460318,0.4977777777777778,0.48571428571428565
vertebral,2,0.6612698412698412,0.6765079365079365,0.7434920634920635,0.6980952380952381,0.7104761904761905,0.693015873015873,0.6965079365079365,0.6482539682539682
zoo_variant1,0,0.5140056022408963,0.5406162464985994,0.8025210084033614,0.8571428571428572,0.861344537815126,0.8333333333333334,0.6148459383753501,0.2647058823529412
zoo_variant1,1,0.7605042016806723,0.7759103641456583,0.8627450980392157,0.8823529411764706,0.8991596638655464,0.9061624649859944,0.9215686274509803,0.9187675070028012
zoo_variant1,2,0.9341736694677871,0.9425770308123249,0.8571428571428572,0.9159663865546219,0.711484593837535,0.9803921568627451,0.8053221288515406,0.7324929971988796
wpbc_variant1,0,0.4666666666666667,0.47035460992907796,0.5591489361702128,0.5835460992907802,0.5747517730496454,0.5520567375886525,0.5270921985815603,0.5160283687943262
wpbc_variant1,1,0.6042553191489362,0.5432624113475177,0.464113475177305,0.4956028368794326,0.4780141843971631,0.4973049645390071,0.49248226950354607,0.5080851063829788
wpbc_variant1,2,0.7565957446808511,0.6513475177304964,0.590354609929078,0.5707801418439716,0.5946099290780141,0.6243971631205674,0.6045390070921985,0.5690780141843972
autos_variant1,0,0.6968888888888889,0.6613333333333333,0.6573333333333333,0.7888888888888889,0.7893333333333333,0.7879999999999999,0.7813333333333333,0.7102222222222223
autos_variant1,1,0.7982222222222222,0.7853333333333334,0.7933333333333332,0.8102222222222222,0.8102222222222222,0.816888888888889,0.8222222222222222,0.8057777777777778
autos_variant1,2,0.7635555555555555,0.7586666666666667,0.7497777777777778,0.8008888888888889,0.8071111111111111,0.7862222222222223,0.7613333333333333,0.7288888888888888
glass,0,0.8079827400215749,0.8036677454153182,0.7896440129449838,0.7993527508090614,0.7842502696871629,0.7162891046386192,0.7486515641855448,0.7162891046386193
glass,1,0.8241639697950378,0.8284789644012945,0.8230852211434736,0.8220064724919094,0.7799352750809061,0.7648327939590075,0.6310679611650485,0.6828478964401294
glass,2,0.918015102481122,0.9147788565264294,0.912621359223301,0.912621359223301,0.9007551240560949,0.854368932038835,0.8101402373247033,0.6785329018338727
audiology_variant1,0,0.9849329205366357,0.9839009287925697,0.9826625386996906,0.9890608875128999,0.9898864809081527,0.9888544891640867,0.9890608875128998,0.9884416924664602
audiology_variant1,1,0.9694530443756451,0.9719298245614035,0.9748194014447885,0.975438596491228,0.9772961816305469,0.978328173374613,0.9781217750257998,0.9781217750257998
audiology_variant1,2,0.9618163054695562,0.9634674922600619,0.9638802889576883,0.9742002063983488,0.9748194014447884,0.9764705882352941,0.9756449948400412,0.9764705882352942
bands_band_6_variant1,0,0.9113247863247863,0.8952991452991452,0.9049145299145299,0.8995726495726496,0.9017094017094017,0.9038461538461539,0.892094017094017,0.8760683760683761
bands_band_6_variant1,1,0.7446581196581197,0.7745726495726496,0.813034188034188,0.8514957264957265,0.858974358974359,0.861111111111111,0.8397435897435898,0.7863247863247863
bands_band_6_variant1,2,0.9572649572649572,0.9497863247863249,0.9497863247863247,0.9487179487179488,0.9423076923076923,0.9444444444444444,0.9348290598290598,0.907051282051282
annealing_variant1,0,0.8223733938019653,0.8538674729150919,0.8327034517510709,0.8502771478961956,0.8512219702695892,0.8434744268077601,0.8402620307382213,0.8473796926177878
annealing_variant1,1,0.8264046359284454,0.8585285966238347,0.8443562610229277,0.8447341899722852,0.8381204333585286,0.83893927941547,0.8383723859914336,0.8408289241622575
annealing_variant1,2,0.8749055177626606,0.8635046611237086,0.8393801965230536,0.8439783320735702,0.8395691609977324,0.8395061728395061,0.8356638951877047,0.8369236583522298
cardiotocography_2and3_33_variant1,0,0.8619691473379502,0.8795573632333004,0.8547872925140156,0.7693745190722217,0.7221061888534681,0.7166465135026199,0.702759151368583,0.6398079953098091
cardiotocography_2and3_33_variant1,1,0.8906232824007915,0.8885346817632187,0.8676486753874904,0.8804734161445165,0.8535414605547617,0.8289912425341688,0.7858268293576638,0.6686819830713422
cardiotocography_2and3_33_variant1,2,0.9086145615770767,0.9115092887765198,0.8783848155069437,0.8712396027994577,0.867172327873658,0.847605437690081,0.7948774321204792,0.6715034260378879
thyroid,0,0.9779333087758073,0.9794184543960895,0.9748870061452285,0.968595601864033,0.9595911756623223,0.952516269360978,0.9355949645377631,0.8909704315692843
thyroid,1,0.9684786612640108,0.9821665584966115,0.9792898197360651,0.9711741420945231,0.9616785653727189,0.9505341261906015,0.9270407596461379,0.8743414782461248
thyroid,2,0.9836692452068971,0.9833418115268349,0.9770562542756407,0.9677711706338764,0.9610763212826046,0.9548141521514146,0.9391967350184474,0.9009396177211786
cardio,0,0.9531026712102891,0.9470979443772672,0.9600623832032538,0.9593135099483345,0.9585302847092448,0.9591554908211498,0.9532675607343081,0.9477162800923382
cardio,1,0.9496193800153897,0.9685404528965593,0.964892272177641,0.9679702099593273,0.9708969990106628,0.966252610750797,0.9596982521710453,0.9604402550291304
cardio,2,0.9443566560404528,0.9500934373969441,0.9646105859074421,0.9637380455095086,0.9618692975706278,0.9539271188303837,0.9409695504012311,0.9357755303946355
sick_sick_72_variant1,0,0.817130936696154,0.8091473743647656,0.7846555618294749,0.7331623690319342,0.7386677332329505,0.7651279879540749,0.7856044921262313,0.7778640441683919
